ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
base4-1,1,Alakazam,Rare Holo,Ken Sugimori,0.0,32.21,0.0,43.63,0.0,2023/09/13
base4-2,2,Blastoise,Rare Holo,Ken Sugimori,0.0,73.68,0.0,77.07,0.0,2023/09/13
base4-3,3,Chansey,Rare Holo,Ken Sugimori,0.0,16.81,0.0,5.23,0.0,2023/09/13
base4-4,4,Charizard,Rare Holo,Mitsuhiro Arita,0.0,231.41,0.0,148.75,0.0,2023/09/13
base4-5,5,Clefable,Rare Holo,Mitsuhiro Arita,0.0,17.51,0.0,7.38,0.0,2023/09/13
base4-6,6,Clefairy,Rare Holo,Ken Sugimori,0.0,15.91,0.0,4.89,0.0,2023/09/13
base4-7,7,Gyarados,Rare Holo,Mitsuhiro Arita,0.0,25.68,0.0,31.38,0.0,2023/09/13
base4-8,8,Hitmonchan,Rare Holo,Ken Sugimori,0.0,24.74,0.0,8.24,0.0,2023/09/13
base4-9,9,Magneton,Rare Holo,Keiji Kinebuchi,0.0,18.51,0.0,14.95,0.0,2023/09/13
base4-10,10,Mewtwo,Rare Holo,Ken Sugimori,0.0,35.85,0.0,42.12,0.0,2023/09/13
base4-11,11,Nidoking,Rare Holo,Ken Sugimori,0.0,24.28,0.0,20.0,0.0,2023/09/13
base4-12,12,Nidoqueen,Rare Holo,Ken Sugimori,0.0,26.29,0.0,17.12,0.0,2023/09/13
base4-13,13,Ninetales,Rare Holo,Ken Sugimori,0.0,24.77,0.0,24.26,0.0,2023/09/13
base4-14,14,Pidgeot,Rare Holo,Kagemaru Himeno,0.0,26.5,0.0,20.18,0.0,2023/09/13
base4-15,15,Poliwrath,Rare Holo,Ken Sugimori,0.0,16.09,0.0,8.92,0.0,2023/09/13
base4-16,16,Raichu,Rare Holo,Ken Sugimori,0.0,23.95,0.0,19.98,0.0,2023/09/13
