ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
base1-1,1,Alakazam,Rare Holo,Ken Sugimori,0.0,42.67,0.0,100.0,0.0,2023/09/13
base1-2,2,Blastoise,Rare Holo,Ken Sugimori,0.0,147.15,0.0,75.51,0.0,2023/09/13
base1-3,3,Chansey,Rare Holo,Ken Sugimori,0.0,26.48,0.0,19.43,0.0,2023/09/13
base1-4,4,Charizard,Rare Holo,Mitsuhiro Arita,0.0,356.87,0.0,3900.0,0.0,2023/09/13
base1-5,5,Clefairy,Rare Holo,Ken Sugimori,0.0,24.19,0.0,17.61,0.0,2023/09/13
base1-6,6,Gyarados,Rare Holo,Mitsuhiro Arita,0.0,22.38,0.0,13.92,0.0,2023/09/13
base1-7,7,Hitmonchan,Rare Holo,Ken Sugimori,0.0,17.97,0.0,24.0,0.0,2023/09/13
base1-9,9,Magneton,Rare Holo,Keiji Kinebuchi,0.0,24.49,0.0,13.97,0.0,2023/09/13
base1-10,10,Mewtwo,Rare Holo,Ken Sugimori,0.0,30.5,0.0,64.9,0.0,2023/09/13
base1-11,11,Nidoking,Rare Holo,Ken Sugimori,0.0,30.71,0.0,0.0,0.0,2023/09/13
base1-12,12,Ninetales,Rare Holo,Ken Sugimori,0.0,19.08,0.0,11.43,0.0,2023/09/13
base1-13,13,Poliwrath,Rare Holo,Ken Sugimori,0.0,22.56,0.0,11.71,0.0,2023/09/13
base1-14,14,Raichu,Rare Holo,Ken Sugimori,0.0,34.36,0.0,0.0,0.0,2023/09/13
base1-15,15,Venusaur,Rare Holo,Mitsuhiro Arita,0.0,88.51,0.0,0.0,0.0,2023/09/13
base1-16,16,Zapdos,Rare Holo,Ken Sugimori,0.0,23.97,0.0,18.23,0.0,2023/09/13
base1-17,17,Beedrill,Rare,Ken Sugimori,3.68,0.0,0.0,17.31,0.0,2023/09/13
base1-18,18,Dragonair,Rare,Mitsuhiro Arita,9.67,0.0,0.0,53.36,0.0,2023/09/13
base1-19,19,Dugtrio,Rare,Keiji Kinebuchi,4.88,0.0,0.0,5.8,0.0,2023/09/13
base1-20,20,Electabuzz,Rare,Ken Sugimori,6.54,0.0,0.0,7.71,0.0,2023/09/13
base1-21,21,Electrode,Rare,Keiji Kinebuchi,4.41,0.0,0.0,0.0,0.0,2023/09/13
base1-22,22,Pidgeotto,Rare,Ken Sugimori,6.49,0.0,0.0,19.95,0.0,2023/09/13
base1-23,23,Arcanine,Uncommon,Ken Sugimori,2.03,0.0,0.0,3.89,0.0,2023/09/13
base1-24,24,Charmeleon,Uncommon,Mitsuhiro Arita,0.82,0.0,0.0,1.87,0.0,2023/09/13
base1-25,25,Dewgong,Uncommon,Mitsuhiro Arita,1.91,0.0,0.0,99.0,0.0,2023/09/13
base1-26,26,Dratini,Uncommon,Ken Sugimori,1.15,0.0,0.0,49.95,0.0,2023/09/13
base1-27,27,Farfetch'd,Uncommon,Ken Sugimori,0.64,0.0,0.0,1.0,0.0,2023/09/13
base1-28,28,Growlithe,Uncommon,Ken Sugimori,1.07,0.0,0.0,3.83,0.0,2023/09/13
base1-29,29,Haunter,Uncommon,Keiji Kinebuchi,1.03,0.0,0.0,5.97,0.0,2023/09/13
base1-30,30,Ivysaur,Uncommon,Ken Sugimori,2.24,0.0,0.0,2.66,0.0,2023/09/13
base1-31,31,Jynx,Uncommon,Ken Sugimori,0.61,0.0,0.0,0.96,0.0,2023/09/13
base1-32,32,Kadabra,Uncommon,Ken Sugimori,1.24,0.0,0.0,0.0,0.0,2023/09/13
base1-33,33,Kakuna,Uncommon,Keiji Kinebuchi,0.66,0.0,0.0,32.99,0.0,2023/09/13
base1-34,34,Machoke,Uncommon,Ken Sugimori,0.64,0.0,0.0,0.77,0.0,2023/09/13
base1-35,35,Magikarp,Uncommon,Mitsuhiro Arita,0.86,0.0,0.0,1.51,0.0,2023/09/13
base1-36,36,Magmar,Uncommon,Ken Sugimori,3.42,0.0,0.0,19.23,0.0,2023/09/13
base1-37,37,Nidorino,Uncommon,Mitsuhiro Arita,2.08,0.0,0.0,2.18,0.0,2023/09/13
base1-38,38,Poliwhirl,Uncommon,Ken Sugimori,0.49,0.0,0.0,1.02,0.0,2023/09/13
base1-39,39,Porygon,Uncommon,Tomoaki Imakuni,1.94,0.0,0.0,0.0,0.0,2023/09/13
base1-40,40,Raticate,Uncommon,Ken Sugimori,1.29,0.0,0.0,1.49,0.0,2023/09/13
base1-41,41,Seel,Uncommon,Ken Sugimori,1.1,0.0,0.0,1.55,0.0,2023/09/13
base1-42,42,Wartortle,Uncommon,Ken Sugimori,2.41,0.0,0.0,154.0,0.0,2023/09/13
base1-43,43,Abra,Common,Mitsuhiro Arita,0.29,0.0,0.0,4.95,0.0,2023/09/13
base1-44,44,Bulbasaur,Common,Mitsuhiro Arita,1.79,0.0,0.0,3.87,0.0,2023/09/13
base1-45,45,Caterpie,Common,Ken Sugimori,0.62,0.0,0.0,0.85,0.0,2023/09/13
base1-46,46,Charmander,Common,Mitsuhiro Arita,1.17,0.0,0.0,44.48,0.0,2023/09/13
base1-47,47,Diglett,Common,Keiji Kinebuchi,0.51,0.0,0.0,36.5,0.0,2023/09/13
base1-48,48,Doduo,Common,Mitsuhiro Arita,0.54,0.0,0.0,1.14,0.0,2023/09/13
base1-49,49,Drowzee,Common,Ken Sugimori,0.36,0.0,0.0,3.99,0.0,2023/09/13
base1-50,50,Gastly,Common,Keiji Kinebuchi,0.46,0.0,0.0,5.95,0.0,2023/09/13
base1-51,51,Koffing,Common,Mitsuhiro Arita,0.29,0.0,0.0,0.99,0.0,2023/09/13
base1-52,52,Machop,Common,Mitsuhiro Arita,0.42,0.0,0.0,0.39,0.0,2023/09/13
base1-53,53,Magnemite,Common,Keiji Kinebuchi,0.44,0.0,0.0,2.73,0.0,2023/09/13
base1-54,54,Metapod,Common,Ken Sugimori,0.41,0.0,0.0,22.98,0.0,2023/09/13
base1-55,55,Nidoran ♂,Common,Ken Sugimori,0.3,0.0,0.0,0.63,0.0,2023/09/13
base1-56,56,Onix,Common,Ken Sugimori,0.46,0.0,0.0,1.0,0.0,2023/09/13
base1-57,57,Pidgey,Common,Ken Sugimori,0.89,0.0,0.0,3.97,0.0,2023/09/13
base1-58,58,Pikachu,Common,Mitsuhiro Arita,2.51,0.0,0.0,0.0,0.0,2023/09/13
base1-59,59,Poliwag,Common,Ken Sugimori,0.44,0.0,0.0,2.49,0.0,2023/09/13
base1-60,60,Ponyta,Common,Ken Sugimori,0.36,0.0,0.0,1.62,0.0,2023/09/13
base1-61,61,Rattata,Common,Mitsuhiro Arita,0.33,0.0,0.0,5.99,0.0,2023/09/13
base1-62,62,Sandshrew,Common,Ken Sugimori,0.37,0.0,0.0,0.64,0.0,2023/09/13
base1-63,63,Squirtle,Common,Mitsuhiro Arita,2.24,0.0,0.0,3.91,0.0,2023/09/13
base1-64,64,Starmie,Common,Keiji Kinebuchi,0.46,0.0,0.0,13.95,0.0,2023/09/13
base1-65,65,Staryu,Common,Keiji Kinebuchi,0.44,0.0,0.0,0.99,0.0,2023/09/13
base1-66,66,Tangela,Common,Mitsuhiro Arita,0.44,0.0,0.0,3.97,0.0,2023/09/13
base1-67,67,Voltorb,Common,Keiji Kinebuchi,1.12,0.0,0.0,1.34,0.0,2023/09/13
base1-68,68,Vulpix,Common,Ken Sugimori,0.49,0.0,0.0,2.49,0.0,2023/09/13
base1-69,69,Weedle,Common,Mitsuhiro Arita,0.3,0.0,0.0,0.58,0.0,2023/09/13
base1-70,70,Clefairy Doll,Rare,Keiji Kinebuchi,3.49,0.0,0.0,7.5,0.0,2023/09/13
base1-71,71,Computer Search,Rare,Keiji Kinebuchi,3.1,0.0,0.0,50.0,0.0,2023/09/13
base1-72,72,Devolution Spray,Rare,Keiji Kinebuchi,2.6,0.0,0.0,5.41,0.0,2023/09/13
