ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex14-1,1,Banette,Rare Holo,Kyoko Umemoto,0.0,4.53,5.35,3.91,6.33,2023/09/14
ex14-2,2,Blastoise δ,Rare Holo,Masakazu Fukuda,0.0,51.32,105.52,23.21,73.33,2023/09/14
ex14-3,3,Camerupt,Rare Holo,Mitsuhiro Arita,0.0,3.54,3.48,0.99,0.0,2023/09/14
ex14-4,4,Charizard δ,Rare Holo,Kouki Saitou,0.0,207.57,299.99,55.59,52.47,2023/09/14
ex14-5,5,Dugtrio,Rare Holo,Tomokazu Komiya,0.0,5.33,6.84,4.17,5.05,2023/09/14
ex14-6,6,Ludicolo δ,Rare Holo,Masakazu Fukuda,0.0,11.13,21.75,23.55,6.9,2023/09/14
ex14-7,7,Luvdisc,Rare Holo,Kyoko Umemoto,0.0,4.11,7.4,2.12,2.99,2023/09/14
ex14-8,8,Manectric,Rare Holo,Hisao Nakamura,0.0,6.28,7.31,4.7,4.9,2023/09/14
ex14-9,9,Mawile,Rare Holo,Kagemaru Himeno,0.0,5.14,8.1,3.6,7.0,2023/09/14
ex14-10,10,Sableye,Rare Holo,Yukiko Baba,0.0,7.57,15.28,2.49,4.35,2023/09/14
ex14-11,11,Swalot,Rare Holo,Mitsuhiro Arita,0.0,4.11,5.32,2.25,4.66,2023/09/14
ex14-12,12,Tauros,Rare Holo,Hajime Kusajima,0.0,5.13,7.99,7.99,4.0,2023/09/14
ex14-13,13,Wigglytuff,Rare Holo,Mitsuhiro Arita,0.0,7.98,6.57,4.56,4.5,2023/09/14
ex14-14,14,Blastoise,Rare,Kouki Saitou,6.01,0.0,36.94,6.54,19.98,2023/09/14
ex14-15,15,Cacturne δ,Rare,Kouki Saitou,1.13,0.0,6.1,1.25,0.0,2023/09/14
ex14-16,16,Combusken,Rare,Suwama Chiaki,1.24,0.0,6.22,0.9,0.0,2023/09/14
ex14-17,17,Dusclops,Rare,Kagemaru Himeno,0.93,0.0,3.14,0.32,4.9,2023/09/14
ex14-18,18,Fearow δ,Rare,Kouki Saitou,0.99,0.0,9.0,1.24,6.97,2023/09/14
ex14-19,19,Grovyle δ,Rare,Masakazu Fukuda,2.27,0.0,25.55,1.75,0.0,2023/09/14
ex14-20,20,Grumpig,Rare,Mitsuhiro Arita,0.72,0.0,3.71,0.11,6.46,2023/09/14
ex14-21,21,Igglybuff,Rare,Miki Tanaka,0.98,0.0,6.35,1.5,7.5,2023/09/14
ex14-22,22,Kingler δ,Rare,Masakazu Fukuda,2.93,0.0,18.08,0.69,2.89,2023/09/14
ex14-23,23,Loudred,Rare,Midori Harada,0.5,0.0,2.89,0.36,2.35,2023/09/14
ex14-24,24,Marshtomp,Rare,Kagemaru Himeno,1.67,0.0,5.41,3.6,0.0,2023/09/14
ex14-25,25,Medicham,Rare,Midori Harada,0.85,0.0,2.35,0.76,2.87,2023/09/14
ex14-26,26,Pelipper δ,Rare,Masakazu Fukuda,0.67,0.0,6.45,0.39,3.31,2023/09/14
ex14-27,27,Swampert,Rare,Hisao Nakamura,2.32,0.0,5.21,1.0,7.95,2023/09/14
ex14-28,28,Venusaur,Rare,Hajime Kusajima,6.14,0.0,33.37,2.37,7.16,2023/09/14
ex14-29,29,Charmeleon,Uncommon,Kagemaru Himeno,1.45,0.0,20.36,0.91,20.0,2023/09/14
ex14-30,30,Charmeleon δ,Uncommon,Mitsuhiro Arita,1.43,0.0,15.67,0.83,0.0,2023/09/14
ex14-31,31,Combusken,Uncommon,Sachiko Adachi,0.5,0.0,4.73,1.12,0.0,2023/09/14
ex14-32,32,Grovyle,Uncommon,Hisao Nakamura,0.47,0.0,5.52,0.35,0.0,2023/09/14
ex14-33,33,Gulpin,Uncommon,Kyoko Umemoto,0.47,0.0,3.01,0.35,0.5,2023/09/14
