ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex11-1,1,Beedrill δ,Rare Holo,Masakazu Fukuda,0.0,20.46,25.0,12.33,8.99,2023/09/14
ex11-2,2,Crobat δ,Rare Holo,Ryo Ueda,0.0,8.98,12.84,5.68,7.74,2023/09/14
ex11-3,3,Dragonite δ,Rare Holo,Ryo Ueda,0.0,80.63,134.47,14.63,0.0,2023/09/14
ex11-4,4,Espeon δ,Rare Holo,Ryo Ueda,0.0,51.27,61.17,31.98,26.46,2023/09/14
ex11-5,5,Flareon δ,Rare Holo,Kouki Saitou,0.0,54.18,116.08,20.2,0.0,2023/09/14
ex11-6,6,Gardevoir δ,Rare Holo,Mitsuhiro Arita,0.0,27.93,29.65,9.1,13.85,2023/09/14
ex11-7,7,Jolteon δ,Rare Holo,Kouki Saitou,0.0,48.5,57.26,36.25,25.06,2023/09/14
ex11-8,8,Latias δ,Rare Holo,Ryo Ueda,0.0,22.72,40.98,9.58,99.99,2023/09/14
ex11-9,9,Latios δ,Rare Holo,Ryo Ueda,0.0,29.83,44.25,8.72,20.0,2023/09/14
ex11-10,10,Marowak δ,Rare Holo,Hajime Kusajima,0.0,18.9,19.69,4.7,14.95,2023/09/14
ex11-11,11,Metagross δ,Rare Holo,Masakazu Fukuda,0.0,25.8,31.98,9.48,0.0,2023/09/14
ex11-12,12,Mewtwo δ,Rare Holo,Ryo Ueda,0.0,78.06,94.95,21.82,120.0,2023/09/14
ex11-13,13,Rayquaza δ,Rare Holo,Ryo Ueda,0.0,65.23,87.0,28.08,91.0,2023/09/14
ex11-14,14,Salamence δ,Rare Holo,Ryo Ueda,0.0,26.27,49.48,4.97,0.0,2023/09/14
ex11-15,15,Starmie δ,Rare Holo,Masakazu Fukuda,0.0,18.35,18.57,8.64,22.48,2023/09/14
ex11-16,16,Tyranitar δ,Rare Holo,Mitsuhiro Arita,0.0,42.76,79.49,11.73,19.99,2023/09/14
