ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex8-1,1,Altaria,Rare Holo,Kyoko Umemoto,0.0,28.66,19.99,7.82,8.5,2023/09/14
ex8-2,2,Beautifly,Rare Holo,Kagemaru Himeno,0.0,10.87,5.0,5.75,8.99,2023/09/14
ex8-3,3,Breloom,Rare Holo,Hajime Kusajima,0.0,22.6,10.5,3.27,10.5,2023/09/14
ex8-4,4,Camerupt,Rare Holo,Tomokazu Komiya,0.0,4.65,8.0,0.87,2.09,2023/09/14
ex8-5,5,Claydol,Rare Holo,Hajime Kusajima,0.0,4.0,4.67,6.19,22.99,2023/09/14
ex8-6,6,Crawdaunt,Rare Holo,Tomoko Wakai,0.0,9.61,25.0,7.12,4.63,2023/09/14
ex8-7,7,Dusclops,Rare Holo,Tomoko Wakai,0.0,11.23,18.72,2.16,0.0,2023/09/14
ex8-8,8,Gyarados,Rare Holo,Hisao Nakamura,0.0,60.01,69.5,15.07,7.99,2023/09/14
ex8-9,9,Jirachi,Rare Holo,Sumiyoshi Kizuki,0.0,50.33,72.79,15.68,22.24,2023/09/14
ex8-10,10,Ludicolo,Rare Holo,Atsuko Nishida,0.0,11.05,18.98,2.35,3.41,2023/09/14
ex8-11,11,Metagross,Rare Holo,Hisao Nakamura,0.0,23.99,27.92,9.17,0.0,2023/09/14
ex8-12,12,Mightyena,Rare Holo,Naoyo Kimura,0.0,4.66,19.72,4.95,11.99,2023/09/14
ex8-13,13,Ninjask,Rare Holo,Katsura Tabata,0.0,8.5,4.85,2.82,0.0,2023/09/14
ex8-14,14,Shedinja,Rare Holo,Yukiko Baba,0.0,15.82,8.64,2.67,4.67,2023/09/14
ex8-15,15,Slaking,Rare Holo,Mitsuhiro Arita,0.0,7.13,5.5,4.58,0.0,2023/09/14
ex8-16,16,Deoxys,Rare,Hironobu Yoshida,2.14,0.0,31.25,0.0,0.0,2023/09/14
ex8-17,17,Deoxys,Rare,Hironobu Yoshida,3.29,0.0,23.34,1.49,0.0,2023/09/14
ex8-18,18,Deoxys,Rare,Hironobu Yoshida,2.34,0.0,29.16,0.7,0.0,2023/09/14
ex8-19,19,Ludicolo,Rare,Ken Sugimori,0.48,0.0,16.79,0.44,100.15,2023/09/14
ex8-20,20,Magcargo,Rare,Midori Harada,1.4,0.0,5.25,0.88,8.12,2023/09/14
ex8-21,21,Pelipper,Rare,Tomokazu Komiya,1.36,0.0,9.96,0.36,0.0,2023/09/14
ex8-22,22,Rayquaza,Rare,Hiromichi Sugiyama,6.61,0.0,79.99,11.52,45.6,2023/09/14
ex8-23,23,Sableye,Rare,Aya Kusube,2.59,0.0,23.07,2.0,11.99,2023/09/14
ex8-24,24,Seaking,Rare,Atsuko Nishida,1.02,0.0,3.78,1.69,2.75,2023/09/14
ex8-25,25,Shiftry,Rare,Kouki Saitou,0.61,0.0,4.2,0.3,0.99,2023/09/14
