ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex3-1,1,Absol,Rare Holo,Naoyo Kimura,0.0,50.46,25.97,8.77,0.0,2023/09/14
ex3-2,2,Altaria,Rare Holo,Atsuko Nishida,0.0,17.04,12.19,4.98,3.0,2023/09/14
ex3-3,3,Crawdaunt,Rare Holo,Hisao Nakamura,0.0,3.04,2.52,2.68,2.41,2023/09/14
ex3-4,4,Flygon,Rare Holo,Mitsuhiro Arita,0.0,26.99,25.93,10.95,0.0,2023/09/14
ex3-5,5,Golem,Rare Holo,Hisao Nakamura,0.0,12.69,8.36,5.35,0.0,2023/09/14
ex3-6,6,Grumpig,Rare Holo,Midori Harada,0.0,13.49,5.95,4.8,2.9,2023/09/14
ex3-7,7,Minun,Rare Holo,Atsuko Nishida,0.0,18.57,12.52,6.75,4.63,2023/09/14
ex3-8,8,Plusle,Rare Holo,Atsuko Nishida,0.0,32.0,21.92,4.6,4.95,2023/09/14
ex3-9,9,Roselia,Rare Holo,Atsuko Nishida,0.0,4.46,4.53,2.12,3.5,2023/09/14
ex3-10,10,Salamence,Rare Holo,Mitsuhiro Arita,0.0,44.54,44.99,12.63,6.65,2023/09/14
ex3-11,11,Shedinja,Rare Holo,Kagemaru Himeno,0.0,31.29,11.04,5.88,4.99,2023/09/14
ex3-12,12,Torkoal,Rare Holo,Kagemaru Himeno,0.0,24.77,11.0,0.0,1.94,2023/09/14
ex3-13,13,Crawdaunt,Rare,Kagemaru Himeno,0.43,0.0,2.58,0.28,0.0,2023/09/14
ex3-14,14,Dragonair,Rare,Aya Kusube,1.45,0.0,30.9,1.86,0.0,2023/09/14
ex3-15,15,Flygon,Rare,Hajime Kusajima,0.74,0.0,6.02,65.0,0.0,2023/09/14
ex3-16,16,Girafarig,Rare,Midori Harada,0.94,0.0,5.99,0.3,0.0,2023/09/14
ex3-17,17,Magneton,Rare,Midori Harada,1.16,0.0,5.28,0.67,0.0,2023/09/14
ex3-18,18,Ninjask,Rare,Hajime Kusajima,0.56,0.0,2.95,0.39,0.59,2023/09/14
ex3-19,19,Salamence,Rare,Kouki Saitou,0.91,0.0,24.99,39.95,0.0,2023/09/14
ex3-20,20,Shelgon,Rare,Mitsuhiro Arita,0.63,0.0,2.89,0.9,1.0,2023/09/14
ex3-21,21,Skarmory,Rare,Hisao Nakamura,0.55,0.0,7.01,0.34,3.08,2023/09/14
ex3-22,22,Vibrava,Rare,Kagemaru Himeno,0.68,0.0,6.32,0.28,0.0,2023/09/14
ex3-23,23,Bagon,Uncommon,Mitsuhiro Arita,1.7,0.0,,1.39,4.99,2023/09/14
ex3-24,24,Camerupt,Uncommon,Naoyo Kimura,0.39,0.0,1.22,0.28,3.95,2023/09/14
ex3-25,25,Combusken,Uncommon,Atsuko Nishida,0.8,0.0,3.95,0.76,0.99,2023/09/14
ex3-26,26,Dratini,Uncommon,Aya Kusube,1.59,0.0,16.79,0.8,0.0,2023/09/14
ex3-27,27,Flaaffy,Uncommon,Miki Tanaka,1.5,0.0,8.45,1.9,0.0,2023/09/14
ex3-28,28,Forretress,Uncommon,Mitsuhiro Arita,1.08,0.0,3.26,0.23,0.0,2023/09/14
ex3-29,29,Graveler,Uncommon,Hisao Nakamura,1.19,0.0,4.6,2.76,0.0,2023/09/14
ex3-30,30,Graveler,Uncommon,Midori Harada,3.47,0.0,8.64,2.49,0.99,2023/09/14
ex3-31,31,Grovyle,Uncommon,Atsuko Nishida,1.61,0.0,7.89,0.47,0.0,2023/09/14
ex3-32,32,Gyarados,Uncommon,Kouki Saitou,4.21,0.0,35.5,3.09,0.0,2023/09/14
ex3-33,33,Horsea,Uncommon,Hajime Kusajima,1.52,0.0,3.49,0.66,1.0,2023/09/14
ex3-34,34,Houndoom,Uncommon,Atsuko Nishida,1.72,0.0,10.78,1.22,0.0,2023/09/14
ex3-35,35,Magneton,Uncommon,Kyoko Umemoto,0.4,0.0,2.75,0.45,0.0,2023/09/14
ex3-36,36,Marshtomp,Uncommon,Atsuko Nishida,1.45,0.0,9.78,0.88,0.0,2023/09/14
ex3-37,37,Meditite,Uncommon,Kouki Saitou,1.09,0.0,2.11,0.59,0.0,2023/09/14
ex3-38,38,Ninjask,Uncommon,Toshinao Aoki,0.39,0.0,2.28,0.44,0.0,2023/09/14
ex3-39,39,Seadra,Uncommon,Hajime Kusajima,0.72,0.0,1.69,0.1,0.0,2023/09/14
ex3-40,40,Seadra,Uncommon,Midori Harada,0.51,0.0,5.99,0.4,0.0,2023/09/14
ex3-41,41,Shelgon,Uncommon,Yuka Morii,0.74,0.0,5.41,0.26,0.0,2023/09/14
ex3-42,42,Shelgon,Uncommon,Ken Sugimori,1.19,0.0,3.99,0.51,4.99,2023/09/14
ex3-43,43,Shuppet,Uncommon,Aya Kusube,1.75,0.0,11.46,0.71,2.99,2023/09/14
ex3-44,44,Snorunt,Uncommon,Sumiyoshi Kizuki,1.52,0.0,6.32,0.62,0.0,2023/09/14
ex3-45,45,Swellow,Uncommon,Mitsuhiro Arita,0.69,0.0,4.32,0.55,0.0,2023/09/14
ex3-46,46,Vibrava,Uncommon,Hajime Kusajima,1.5,0.0,2.42,4.9,4.95,2023/09/14
ex3-47,47,Vibrava,Uncommon,Ken Sugimori,0.42,0.0,2.69,0.28,0.8,2023/09/14
ex3-48,48,Whiscash,Uncommon,Tomokazu Komiya,1.88,0.0,5.95,1.23,0.0,2023/09/14
ex3-49,49,Bagon,Common,Ken Sugimori,0.25,0.0,6.78,0.12,0.0,2023/09/14
ex3-50,50,Bagon,Common,Kouki Saitou,0.77,0.0,1.07,2.03,0.0,2023/09/14
ex3-51,51,Barboach,Common,Tomokazu Komiya,0.56,0.0,3.4,0.38,0.0,2023/09/14
ex3-52,52,Corphish,Common,Ken Sugimori,0.21,0.0,2.67,0.71,0.0,2023/09/14
ex3-53,53,Corphish,Common,Kagemaru Himeno,0.53,0.0,0.77,4.5,1.99,2023/09/14
ex3-54,54,Corphish,Common,Hisao Nakamura,0.64,0.0,2.92,0.28,0.0,2023/09/14
ex3-55,55,Geodude,Common,Hisao Nakamura,0.43,0.0,3.69,0.31,0.0,2023/09/14
ex3-56,56,Geodude,Common,Midori Harada,0.54,0.0,3.69,0.35,1.99,2023/09/14
ex3-57,57,Grimer,Common,Yuka Morii,0.42,0.0,2.41,0.25,1.5,2023/09/14
ex3-58,58,Horsea,Common,Midori Harada,0.32,0.0,1.22,0.21,0.5,2023/09/14
ex3-59,59,Houndour,Common,Hajime Kusajima,0.69,0.0,5.99,0.55,2.22,2023/09/14
ex3-60,60,Magikarp,Common,Kouki Saitou,0.96,0.0,8.23,0.46,2.45,2023/09/14
ex3-61,61,Magnemite,Common,Tomokazu Komiya,0.39,0.0,8.0,0.34,0.49,2023/09/14
ex3-62,62,Magnemite,Common,Midori Harada,0.8,0.0,2.72,0.43,0.99,2023/09/14
ex3-63,63,Magnemite,Common,Kyoko Umemoto,0.65,0.0,5.15,0.32,0.0,2023/09/14
ex3-64,64,Mareep,Common,Miki Tanaka,0.75,0.0,3.09,0.79,1.9,2023/09/14
ex3-65,65,Mudkip,Common,Hironobu Yoshida,1.24,0.0,8.83,0.81,0.0,2023/09/14
ex3-66,66,Nincada,Common,Toshinao Aoki,0.28,0.0,1.07,0.2,0.0,2023/09/14
ex3-67,67,Nincada,Common,Ken Sugimori,0.55,0.0,0.91,0.35,1.54,2023/09/14
ex3-68,68,Nincada,Common,Hajime Kusajima,0.47,0.0,3.43,0.25,0.0,2023/09/14
ex3-69,69,Numel,Common,Yuka Morii,0.3,0.0,3.44,0.18,0.2,2023/09/14
ex3-70,70,Numel,Common,Naoyo Kimura,0.42,0.0,1.84,0.76,0.0,2023/09/14
ex3-71,71,Pineco,Common,Hajime Kusajima,0.37,0.0,1.5,0.29,0.0,2023/09/14
ex3-72,72,Slugma,Common,Kyoko Umemoto,0.32,0.0,2.79,0.13,1.91,2023/09/14
ex3-73,73,Spoink,Common,Miki Tanaka,0.22,0.0,3.72,0.18,0.0,2023/09/14
ex3-74,74,Spoink,Common,Midori Harada,0.5,0.0,1.94,0.52,1.75,2023/09/14
ex3-75,75,Swablu,Common,Atsuko Nishida,0.56,0.0,2.95,0.56,1.49,2023/09/14
ex3-76,76,Taillow,Common,Kyoko Umemoto,0.47,0.0,1.14,0.15,0.0,2023/09/14
ex3-77,77,Torchic,Common,Hironobu Yoshida,0.66,0.0,7.49,1.11,0.15,2023/09/14
ex3-78,78,Trapinch,Common,Yuka Morii,0.43,0.0,9.99,0.21,0.0,2023/09/14
ex3-79,79,Trapinch,Common,Ken Sugimori,0.71,0.0,1.16,0.22,0.0,2023/09/14
ex3-80,80,Treecko,Common,Hajime Kusajima,0.65,0.0,3.48,0.42,1.0,2023/09/14
ex3-81,81,Wurmple,Common,Midori Harada,0.55,0.0,0.98,0.21,0.89,2023/09/14
ex3-82,82,Balloon Berry,Uncommon,Keiji Kinebuchi,0.3,0.0,1.25,0.28,0.0,2023/09/14
ex3-83,83,Buffer Piece,Uncommon,Katsura Tabata,0.63,0.0,2.67,0.95,0.5,2023/09/14
ex3-84,84,Energy Recycle System,Uncommon,Zu-Ka,0.23,0.0,5.92,0.18,0.0,2023/09/14
ex3-85,85,High Pressure System,Uncommon,Ken Ikuji,0.47,0.0,1.25,1.11,1.0,2023/09/14
ex3-86,86,Low Pressure System,Uncommon,Shin-ichi Yoshikawa,0.39,0.0,3.46,0.32,0.0,2023/09/14
ex3-87,87,Mr. Briney's Compassion,Uncommon,Ken Sugimori,4.46,0.0,7.75,4.0,5.98,2023/09/14
ex3-88,88,TV Reporter,Uncommon,Ken Sugimori,0.5,0.0,90.0,0.25,0.0,2023/09/14
ex3-89,89,Ampharos ex,Rare Holo EX,Ryo Ueda,0.0,53.92,0.0,9.89,0.0,2023/09/14
ex3-90,90,Dragonite ex,Rare Holo EX,Ryo Ueda,0.0,149.99,0.0,16.77,0.0,2023/09/14
ex3-91,91,Golem ex,Rare Holo EX,Hikaru Koike,0.0,37.4,0.0,3.44,0.0,2023/09/14
ex3-92,92,Kingdra ex,Rare Holo EX,Hikaru Koike,0.0,26.53,0.0,17.78,0.0,2023/09/14
ex3-93,93,Latias ex,Rare Holo EX,Ryo Ueda,0.0,101.14,0.0,23.85,0.0,2023/09/14
ex3-94,94,Latios ex,Rare Holo EX,Ryo Ueda,0.0,91.5,0.0,41.58,0.0,2023/09/14
ex3-95,95,Magcargo ex,Rare Holo EX,Hikaru Koike,0.0,30.0,0.0,14.02,0.0,2023/09/14
ex3-96,96,Muk ex,Rare Holo EX,Hikaru Koike,0.0,35.62,0.0,13.0,0.0,2023/09/14
ex3-97,97,Rayquaza ex,Rare Holo EX,Hikaru Koike,0.0,185.87,0.0,23.3,0.0,2023/09/14
ex3-98,98,Charmander,Rare Secret,Mitsuhiro Arita,0.0,89.5,0.0,0.0,0.0,2023/09/14
ex3-99,99,Charmeleon,Rare Secret,Mitsuhiro Arita,0.0,55.92,0.0,7.09,0.0,2023/09/14
ex3-100,100,Charizard,Rare Secret,Mitsuhiro Arita,0.0,417.29,0.0,25.0,0.0,2023/09/14
