ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex9-1,1,Blaziken,Rare Holo,Midori Harada,0.0,22.68,89.0,2.66,10.0,2023/09/14
ex9-2,2,Deoxys,Rare Holo,Hironobu Yoshida,0.0,21.64,21.24,5.06,0.0,2023/09/14
ex9-3,3,Exploud,Rare Holo,Hajime Kusajima,0.0,11.71,20.08,0.0,0.0,2023/09/14
ex9-4,4,Gardevoir,Rare Holo,Kagemaru Himeno,0.0,20.17,20.08,2.87,0.0,2023/09/14
ex9-5,5,Groudon,Rare Holo,Kouki Saitou,0.0,22.49,37.99,5.25,9.9,2023/09/14
ex9-6,6,Kyogre,Rare Holo,Masakazu Fukuda,0.0,29.86,7.99,6.02,25.0,2023/09/14
ex9-7,7,Manectric,Rare Holo,Masakazu Fukuda,0.0,3.92,19.99,0.76,1.9,2023/09/14
ex9-8,8,Milotic,Rare Holo,Kagemaru Himeno,0.0,12.79,20.45,1.23,2.0,2023/09/14
ex9-9,9,Rayquaza,Rare Holo,Kouki Saitou,0.0,45.72,86.58,35.99,10.0,2023/09/14
ex9-10,10,Sceptile,Rare Holo,Mitsuhiro Arita,0.0,19.17,30.49,3.57,0.0,2023/09/14
ex9-11,11,Swampert,Rare Holo,Atsuko Nishida,0.0,22.91,41.04,1.93,0.0,2023/09/14
ex9-12,12,Chimecho,Rare,Kagemaru Himeno,1.08,0.0,11.81,3.86,9.74,2023/09/14
ex9-13,13,Glalie,Rare,Atsuko Nishida,0.63,0.0,7.99,1.21,1.5,2023/09/14
ex9-14,14,Groudon,Rare,Kouki Saitou,3.03,0.0,38.95,0.81,20.99,2023/09/14
ex9-15,15,Kyogre,Rare,Kouki Saitou,2.56,0.0,99.0,1.1,7.0,2023/09/14
ex9-16,16,Manectric,Rare,Kagemaru Himeno,1.37,0.0,13.99,0.09,0.0,2023/09/14
ex9-17,17,Nosepass,Rare,Kouki Saitou,0.75,0.0,6.32,1.18,0.0,2023/09/14
ex9-18,18,Relicanth,Rare,Atsuko Nishida,1.86,0.0,8.89,2.01,0.0,2023/09/14
ex9-19,19,Rhydon,Rare,Kouki Saitou,0.69,0.0,14.31,0.97,0.0,2023/09/14
ex9-20,20,Seviper,Rare,Mitsuhiro Arita,0.85,0.0,8.99,0.35,0.0,2023/09/14
ex9-21,21,Zangoose,Rare,Midori Harada,1.13,0.0,19.68,0.1,0.0,2023/09/14
ex9-22,22,Breloom,Uncommon,Mitsuhiro Arita,1.62,0.0,10.0,1.35,2.66,2023/09/14
ex9-23,23,Camerupt,Uncommon,Masakazu Fukuda,0.43,0.0,8.15,0.82,0.0,2023/09/14
ex9-24,24,Claydol,Uncommon,Yuka Morii,2.18,0.0,8.1,0.4,0.0,2023/09/14
ex9-25,25,Combusken,Uncommon,Midori Harada,0.46,0.0,13.3,0.4,0.0,2023/09/14
ex9-26,26,Dodrio,Uncommon,Hajime Kusajima,0.82,0.0,14.0,2.26,2.24,2023/09/14
ex9-27,27,Electrode,Uncommon,Masakazu Fukuda,1.09,0.0,17.42,0.24,0.0,2023/09/14
ex9-28,28,Grovyle,Uncommon,Mitsuhiro Arita,0.77,0.0,16.97,0.38,0.0,2023/09/14
ex9-29,29,Grumpig,Uncommon,Kagemaru Himeno,1.43,0.0,5.99,2.51,0.0,2023/09/14
ex9-30,30,Grumpig,Uncommon,Atsuko Nishida,0.53,0.0,7.83,0.7,8.0,2023/09/14
ex9-31,31,Hariyama,Uncommon,Kouki Saitou,0.71,0.0,3.7,1.2,5.98,2023/09/14
ex9-32,32,Illumise,Uncommon,Kouki Saitou,1.36,0.0,7.58,0.41,6.4,2023/09/14
ex9-33,33,Kirlia,Uncommon,Kagemaru Himeno,1.1,0.0,7.18,0.85,1.5,2023/09/14
ex9-34,34,Linoone,Uncommon,Yuka Morii,3.83,0.0,0.0,0.86,0.0,2023/09/14
ex9-35,35,Loudred,Uncommon,Hajime Kusajima,1.53,0.0,8.64,0.0,0.0,2023/09/14
ex9-36,36,Marshtomp,Uncommon,Atsuko Nishida,1.07,0.0,12.92,0.1,0.0,2023/09/14
ex9-37,37,Minun,Uncommon,Naoyo Kimura,1.52,0.0,13.9,0.78,9.0,2023/09/14
ex9-38,38,Ninetales,Uncommon,Midori Harada,3.23,0.0,50.17,0.59,0.0,2023/09/14
ex9-39,39,Plusle,Uncommon,Naoyo Kimura,1.98,0.0,15.86,1.05,0.0,2023/09/14
