ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ecard1-1,1,Alakazam,Rare Holo,Hajime Kusajima,0.0,77.59,44.04,0.0,0.0,2023/09/14
ecard1-2,2,Ampharos,Rare Holo,Atsuko Nishida,0.0,61.2,22.4,33.32,0.0,2023/09/14
ecard1-3,3,Arbok,Rare Holo,Kyoko Umemoto,0.0,46.48,11.07,15.06,0.0,2023/09/14
ecard1-4,4,Blastoise,Rare Holo,Kimiya Masago,0.0,266.22,69.99,229.5,20.0,2023/09/14
ecard1-5,5,Butterfree,Rare Holo,Sumiyoshi Kizuki,0.0,59.33,18.52,20.25,16.75,2023/09/14
ecard1-6,6,Charizard,Rare Holo,Hiromichi Sugiyama,0.0,599.99,203.98,35.0,25.0,2023/09/14
ecard1-7,7,Clefable,Rare Holo,Kagemaru Himeno,0.0,69.95,17.7,52.24,7.95,2023/09/14
ecard1-8,8,Cloyster,Rare Holo,Kyoko Umemoto,0.0,41.82,15.93,25.48,0.0,2023/09/14
ecard1-9,9,Dragonite,Rare Holo,Kagemaru Himeno,0.0,224.99,82.95,71.0,7.49,2023/09/14
ecard1-10,10,Dugtrio,Rare Holo,Masako Yamashita,0.0,42.31,12.29,9.05,0.0,2023/09/14
ecard1-11,11,Fearow,Rare Holo,Kyoko Umemoto,0.0,38.45,23.46,9.78,9.94,2023/09/14
ecard1-12,12,Feraligatr,Rare Holo,Mitsuhiro Arita,0.0,123.48,31.1,47.25,0.0,2023/09/14
ecard1-13,13,Gengar,Rare Holo,Yukiko Baba,0.0,153.84,35.0,63.0,0.0,2023/09/14
ecard1-14,14,Golem,Rare Holo,Aya Kusube,0.0,30.3,19.99,18.0,5.49,2023/09/14
ecard1-15,15,Kingler,Rare Holo,Shin-ichi Yoshida,0.0,36.52,7.78,15.0,2.0,2023/09/14
ecard1-16,16,Machamp,Rare Holo,Shin-ichi Yoshida,0.0,50.0,20.99,48.0,8.5,2023/09/14
ecard1-17,17,Magby,Rare Holo,Mitsuhiro Arita,0.0,47.65,13.49,19.22,0.0,2023/09/14
ecard1-18,18,Meganium,Rare Holo,Hajime Kusajima,0.0,68.24,27.44,11.48,0.0,2023/09/14
ecard1-19,19,Mew,Rare Holo,Hajime Kusajima,0.0,127.5,107.11,30.0,0.0,2023/09/14
ecard1-20,20,Mewtwo,Rare Holo,Kimiya Masago,0.0,221.66,36.17,80.47,16.0,2023/09/14
ecard1-21,21,Ninetales,Rare Holo,Atsuko Nishida,0.0,48.0,29.75,18.75,2.99,2023/09/14
ecard1-22,22,Pichu,Rare Holo,Atsuko Nishida,0.0,75.49,39.8,13.99,8.24,2023/09/14
ecard1-23,23,Pidgeot,Rare Holo,Tomokazu Komiya,0.0,95.86,30.0,18.05,9.5,2023/09/14
ecard1-24,24,Poliwrath,Rare Holo,Yuka Morii,0.0,43.8,23.5,12.63,9.98,2023/09/14
ecard1-25,25,Raichu,Rare Holo,Atsuko Nishida,0.0,71.98,21.58,46.0,7.5,2023/09/14
ecard1-26,26,Rapidash,Rare Holo,Kagemaru Himeno,0.0,54.78,24.54,14.12,8.49,2023/09/14
ecard1-27,27,Skarmory,Rare Holo,Kimiya Masago,0.0,57.43,22.39,12.95,0.0,2023/09/14
ecard1-28,28,Typhlosion,Rare Holo,K. Hoshiba,0.0,50.28,31.85,12.32,0.0,2023/09/14
ecard1-29,29,Tyranitar,Rare Holo,Kimiya Masago,0.0,181.2,39.81,33.2,0.0,2023/09/14
ecard1-30,30,Venusaur,Rare Holo,Shin-ichi Yoshikawa,0.0,132.5,36.25,20.0,0.0,2023/09/14
ecard1-31,31,Vileplume,Rare Holo,Miki Tanaka,0.0,38.66,8.88,10.81,4.3,2023/09/14
ecard1-32,32,Weezing,Rare Holo,Hajime Kusajima,0.0,40.25,18.31,10.67,2.85,2023/09/14
ecard1-33,33,Alakazam,Rare,Hajime Kusajima,4.19,0.0,19.76,3.82,6.0,2023/09/14
ecard1-34,34,Ampharos,Rare,Atsuko Nishida,8.27,0.0,27.49,2.91,2.0,2023/09/14
ecard1-35,35,Arbok,Rare,Kyoko Umemoto,4.11,0.0,8.9,2.73,0.0,2023/09/14
ecard1-36,36,Blastoise,Rare,Hiromichi Sugiyama,24.68,0.0,59.99,10.14,8.62,2023/09/14
ecard1-37,37,Blastoise,Rare,Kimiya Masago,24.82,0.0,73.98,5.03,16.49,2023/09/14
ecard1-38,38,Butterfree,Rare,Sumiyoshi Kizuki,4.8,0.0,20.0,2.1,2.25,2023/09/14
ecard1-39,39,Charizard,Rare,Atsuko Nishida,98.43,0.0,70.0,10.2,0.0,2023/09/14
ecard1-40,40,Charizard,Rare,Hiromichi Sugiyama,49.2,0.0,123.32,22.38,0.0,2023/09/14
ecard1-41,41,Clefable,Rare,Kagemaru Himeno,1.8,0.0,7.46,1.3,1.75,2023/09/14
ecard1-42,42,Cloyster,Rare,Kyoko Umemoto,5.18,0.0,6.54,1.33,2.9,2023/09/14
ecard1-43,43,Dragonite,Rare,Kagemaru Himeno,30.39,0.0,84.48,6.63,0.0,2023/09/14
ecard1-44,44,Dugtrio,Rare,Masako Yamashita,3.66,0.0,5.99,1.42,6.37,2023/09/14
ecard1-45,45,Fearow,Rare,Kyoko Umemoto,4.15,0.0,9.66,1.0,2.81,2023/09/14
ecard1-46,46,Feraligatr,Rare,Hiromichi Sugiyama,8.05,0.0,25.67,3.25,0.0,2023/09/14
ecard1-47,47,Feraligatr,Rare,Mitsuhiro Arita,16.98,0.0,19.8,0.0,0.0,2023/09/14
ecard1-48,48,Gengar,Rare,Yukiko Baba,24.52,0.0,31.19,6.93,5.25,2023/09/14
ecard1-49,49,Golem,Rare,Aya Kusube,3.64,0.0,15.66,1.75,0.0,2023/09/14
ecard1-50,50,Kingler,Rare,Shin-ichi Yoshida,4.57,0.0,9.89,2.23,0.0,2023/09/14
ecard1-51,51,Machamp,Rare,Shin-ichi Yoshida,2.64,0.0,17.07,1.16,3.83,2023/09/14
ecard1-52,52,Magby,Rare,Mitsuhiro Arita,3.23,0.0,11.0,1.49,3.0,2023/09/14
ecard1-53,53,Meganium,Rare,Kagemaru Himeno,7.41,0.0,18.84,2.41,4.99,2023/09/14
ecard1-54,54,Meganium,Rare,Hajime Kusajima,6.77,0.0,23.23,1.76,2.13,2023/09/14
ecard1-55,55,Mew,Rare,Hajime Kusajima,23.16,0.0,13.25,12.28,4.0,2023/09/14
ecard1-56,56,Mewtwo,Rare,Kimiya Masago,22.21,0.0,50.0,9.3,0.0,2023/09/14
ecard1-57,57,Ninetales,Rare,Atsuko Nishida,9.99,0.0,22.01,2.91,2.25,2023/09/14
ecard1-58,58,Pichu,Rare,Atsuko Nishida,9.23,0.0,34.07,2.39,4.95,2023/09/14
ecard1-59,59,Pidgeot,Rare,Tomokazu Komiya,4.56,0.0,15.12,2.02,1.19,2023/09/14
ecard1-60,60,Poliwrath,Rare,Yuka Morii,7.85,0.0,9.87,2.18,0.0,2023/09/14
ecard1-61,61,Raichu,Rare,Atsuko Nishida,3.51,0.0,28.49,1.93,3.4,2023/09/14
ecard1-62,62,Rapidash,Rare,Kagemaru Himeno,5.13,0.0,13.21,1.98,2.15,2023/09/14
ecard1-63,63,Skarmory,Rare,Kimiya Masago,4.17,0.0,11.27,1.4,4.5,2023/09/14
ecard1-64,64,Typhlosion,Rare,Hiroaki Ito,13.72,0.0,35.97,2.89,0.0,2023/09/14
ecard1-65,65,Typhlosion,Rare,K. Hoshiba,9.55,0.0,29.24,4.07,3.99,2023/09/14
ecard1-66,66,Tyranitar,Rare,Kimiya Masago,14.55,0.0,64.99,6.63,6.8,2023/09/14
ecard1-67,67,Venusaur,Rare,Atsuko Nishida,19.66,0.0,31.98,4.87,0.0,2023/09/14
ecard1-68,68,Venusaur,Rare,Shin-ichi Yoshikawa,13.65,0.0,37.97,0.0,0.0,2023/09/14
ecard1-69,69,Vileplume,Rare,Miki Tanaka,1.66,0.0,9.83,1.05,0.85,2023/09/14
ecard1-70,70,Weezing,Rare,Hajime Kusajima,1.69,0.0,10.66,5.27,2.03,2023/09/14
ecard1-71,71,Bayleef,Uncommon,Mitsuhiro Arita,3.01,0.0,10.12,1.32,8.95,2023/09/14
ecard1-72,72,Chansey,Uncommon,Sumiyoshi Kizuki,1.12,0.0,11.75,0.88,8.99,2023/09/14
ecard1-73,73,Charmeleon,Uncommon,Tomokazu Komiya,8.7,0.0,37.52,3.88,20.65,2023/09/14
ecard1-74,74,Croconaw,Uncommon,Kagemaru Himeno,2.8,0.0,22.12,2.03,0.0,2023/09/14
ecard1-75,75,Dragonair,Uncommon,Kagemaru Himeno,4.55,0.0,27.92,1.93,10.0,2023/09/14
