ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex6-1,1,Beedrill,Rare Holo,Hajime Kusajima,0.0,6.14,14.48,1.97,0.0,2023/09/14
ex6-2,2,Butterfree,Rare Holo,Atsuko Nishida,0.0,14.03,15.57,4.41,3.0,2023/09/14
ex6-3,3,Dewgong,Rare Holo,Toshinao Aoki,0.0,8.06,13.75,4.62,0.0,2023/09/14
ex6-4,4,Ditto,Rare Holo,Miki Tanaka,0.0,23.46,17.43,7.9,0.0,2023/09/14
ex6-5,5,Exeggutor,Rare Holo,Tomokazu Komiya,0.0,18.42,27.92,6.8,7.49,2023/09/14
ex6-6,6,Kangaskhan,Rare Holo,Naoyo Kimura,0.0,11.94,10.37,3.0,4.99,2023/09/14
ex6-7,7,Marowak,Rare Holo,Aya Kusube,0.0,11.98,15.32,6.47,14.99,2023/09/14
ex6-8,8,Nidoking,Rare Holo,Hisao Nakamura,0.0,24.98,30.44,14.49,0.0,2023/09/14
ex6-9,9,Nidoqueen,Rare Holo,Naoyo Kimura,0.0,15.69,18.81,19.99,4.0,2023/09/14
ex6-10,10,Pidgeot,Rare Holo,Midori Harada,0.0,12.3,22.35,4.01,18.0,2023/09/14
ex6-11,11,Poliwrath,Rare Holo,Ken Sugimori,0.0,12.92,14.75,8.1,0.0,2023/09/14
ex6-12,12,Raichu,Rare Holo,Midori Harada,0.0,23.44,20.66,5.66,0.99,2023/09/14
ex6-13,13,Rapidash,Rare Holo,Ken Sugimori,0.0,19.75,34.98,8.83,34.9,2023/09/14
ex6-14,14,Slowbro,Rare Holo,Yuka Morii,0.0,12.63,12.42,5.27,3.9,2023/09/14
ex6-15,15,Snorlax,Rare Holo,Kagemaru Himeno,0.0,26.71,36.5,9.99,26.49,2023/09/14
ex6-16,16,Tauros,Rare Holo,Masakazu Fukuda,0.0,8.42,8.36,3.29,0.0,2023/09/14
ex6-17,17,Victreebel,Rare Holo,Tomokazu Komiya,0.0,7.01,9.79,3.76,3.99,2023/09/14
ex6-18,18,Arcanine,Rare,Ken Sugimori,0.99,0.0,29.82,1.08,13.9,2023/09/14
ex6-19,19,Chansey,Rare,Miki Tanaka,1.6,0.0,9.93,0.7,7.99,2023/09/14
ex6-20,20,Cloyster,Rare,Aya Kusube,1.2,0.0,9.41,0.88,0.0,2023/09/14
ex6-21,21,Dodrio,Rare,Kagemaru Himeno,1.01,0.0,5.03,0.91,5.13,2023/09/14
ex6-22,22,Dugtrio,Rare,Hajime Kusajima,1.21,0.0,9.47,0.39,0.0,2023/09/14
ex6-23,23,Farfetch'd,Rare,Yukiko Baba,1.14,0.0,10.31,0.34,4.0,2023/09/14
ex6-24,24,Fearow,Rare,Hisao Nakamura,1.23,0.0,6.41,0.77,1.5,2023/09/14
ex6-25,25,Hypno,Rare,Yukiko Baba,1.36,0.0,8.98,0.58,6.31,2023/09/14
ex6-26,26,Kingler,Rare,Kouki Saitou,1.68,0.0,7.4,0.0,9.99,2023/09/14
ex6-27,27,Magneton,Rare,Ken Sugimori,0.64,0.0,7.27,0.22,0.0,2023/09/14
ex6-28,28,Primeape,Rare,Miki Tanaka,1.15,0.0,7.02,0.96,3.19,2023/09/14
ex6-29,29,Scyther,Rare,Kouki Saitou,3.02,0.0,17.7,0.62,3.45,2023/09/14
ex6-30,30,Tangela,Rare,Yuka Morii,1.42,0.0,4.56,0.53,9.45,2023/09/14
ex6-31,31,Charmeleon,Uncommon,Kouki Saitou,0.83,0.0,30.05,0.61,0.0,2023/09/14
ex6-32,32,Drowzee,Uncommon,Yukiko Baba,0.96,0.0,5.81,0.79,3.49,2023/09/14
ex6-33,33,Exeggcute,Uncommon,Tomokazu Komiya,3.26,0.0,6.0,2.5,0.0,2023/09/14
ex6-34,34,Haunter,Uncommon,Ken Sugimori,2.26,0.0,2.0,1.01,1.99,2023/09/14
ex6-35,35,Ivysaur,Uncommon,Atsuko Nishida,1.27,0.0,29.42,0.75,14.97,2023/09/14
ex6-36,36,Kakuna,Uncommon,Hajime Kusajima,0.5,0.0,5.42,0.61,0.0,2023/09/14
ex6-37,37,Lickitung,Uncommon,Sumiyoshi Kizuki,1.91,0.0,11.97,1.09,0.5,2023/09/14
ex6-38,38,Mankey,Uncommon,Miki Tanaka,0.74,0.0,4.91,0.64,0.0,2023/09/14
ex6-39,39,Metapod,Uncommon,Atsuko Nishida,0.97,0.0,7.8,2.56,7.5,2023/09/14
ex6-40,40,Nidorina,Uncommon,Naoyo Kimura,1.6,0.0,14.95,0.77,9.37,2023/09/14
ex6-41,41,Nidorino,Uncommon,Hisao Nakamura,0.94,0.0,6.48,2.49,7.16,2023/09/14
ex6-42,42,Onix,Uncommon,Kouki Saitou,1.91,0.0,7.16,0.9,0.0,2023/09/14
ex6-43,43,Parasect,Uncommon,Yuka Morii,2.78,0.0,6.23,1.02,3.99,2023/09/14
ex6-44,44,Persian,Uncommon,Masakazu Fukuda,1.75,0.0,16.66,1.32,0.0,2023/09/14
ex6-45,45,Pidgeotto,Uncommon,Midori Harada,0.77,0.0,7.0,0.47,6.12,2023/09/14
ex6-46,46,Poliwhirl,Uncommon,Ken Sugimori,0.95,0.0,10.23,0.62,6.25,2023/09/14
ex6-47,47,Porygon,Uncommon,Tomoaki Imakuni,1.8,0.0,8.64,0.0,0.0,2023/09/14
ex6-48,48,Raticate,Uncommon,Kyoko Umemoto,1.1,0.0,5.5,0.0,6.99,2023/09/14
ex6-49,49,Venomoth,Uncommon,Kagemaru Himeno,0.78,0.0,5.52,1.31,0.0,2023/09/14
ex6-50,50,Wartortle,Uncommon,Mitsuhiro Arita,2.73,0.0,30.82,0.82,14.9,2023/09/14
ex6-51,51,Weepinbell,Uncommon,Tomokazu Komiya,1.21,0.0,10.51,0.89,5.0,2023/09/14
ex6-52,52,Wigglytuff,Uncommon,Kyoko Umemoto,1.58,0.0,5.73,0.53,0.0,2023/09/14
ex6-53,53,Bellsprout,Common,Tomokazu Komiya,0.59,0.0,6.66,0.82,6.0,2023/09/14
ex6-54,54,Bulbasaur,Common,Atsuko Nishida,2.87,0.0,51.83,1.38,17.5,2023/09/14
ex6-55,55,Bulbasaur,Common,Hajime Kusajima,0.86,0.0,32.5,0.33,6.5,2023/09/14
ex6-56,56,Caterpie,Common,Atsuko Nishida,0.5,0.0,6.97,0.63,4.5,2023/09/14
ex6-57,57,Charmander,Common,Kouki Saitou,1.16,0.0,29.35,1.9,19.9,2023/09/14
ex6-58,58,Charmander,Common,Midori Harada,0.59,0.0,15.93,0.47,0.0,2023/09/14
ex6-59,59,Clefairy,Common,Mitsuhiro Arita,0.57,0.0,2.77,0.24,0.0,2023/09/14
ex6-60,60,Cubone,Common,Aya Kusube,1.04,0.0,18.26,0.43,0.0,2023/09/14
ex6-61,61,Diglett,Common,Hajime Kusajima,0.41,0.0,8.11,0.25,0.0,2023/09/14
ex6-62,62,Doduo,Common,Kagemaru Himeno,0.38,0.0,3.1,0.15,0.0,2023/09/14
ex6-63,63,Gastly,Common,Ken Sugimori,0.66,0.0,14.57,0.44,0.0,2023/09/14
ex6-64,64,Growlithe,Common,Ken Sugimori,0.45,0.0,15.75,0.61,0.0,2023/09/14
ex6-65,65,Jigglypuff,Common,Kyoko Umemoto,0.98,0.0,9.18,0.48,0.0,2023/09/14
ex6-66,66,Krabby,Common,Kouki Saitou,0.27,0.0,1.88,0.37,0.0,2023/09/14
ex6-67,67,Magikarp,Common,Atsuko Nishida,2.18,0.0,26.26,2.33,18.0,2023/09/14
ex6-68,68,Magnemite,Common,Ken Sugimori,0.21,0.0,5.27,0.12,5.0,2023/09/14
ex6-69,69,Meowth,Common,Masakazu Fukuda,0.51,0.0,8.44,0.35,6.32,2023/09/14
ex6-70,70,Nidoran ♀,Common,Naoyo Kimura,0.53,0.0,2.8,0.61,3.98,2023/09/14
ex6-71,71,Nidoran ♂,Common,Hisao Nakamura,0.42,0.0,2.01,0.33,1.99,2023/09/14
ex6-72,72,Paras,Common,Yuka Morii,0.44,0.0,6.69,0.24,1.0,2023/09/14
ex6-73,73,Pidgey,Common,Midori Harada,0.4,0.0,5.04,0.34,2.0,2023/09/14
ex6-74,74,Pikachu,Common,Midori Harada,2.84,0.0,35.99,4.94,0.0,2023/09/14
ex6-75,75,Poliwag,Common,Ken Sugimori,0.71,0.0,5.05,0.18,0.0,2023/09/14
ex6-76,76,Ponyta,Common,Ken Sugimori,0.64,0.0,3.68,0.48,3.9,2023/09/14
ex6-77,77,Rattata,Common,Kyoko Umemoto,0.29,0.0,4.41,0.21,2.5,2023/09/14
ex6-78,78,Seel,Common,Toshinao Aoki,0.25,0.0,4.77,0.22,0.0,2023/09/14
ex6-79,79,Shellder,Common,Aya Kusube,0.49,0.0,5.91,0.6,1.45,2023/09/14
ex6-80,80,Slowpoke,Common,Yuka Morii,1.78,0.0,8.81,0.43,8.0,2023/09/14
ex6-81,81,Spearow,Common,Hisao Nakamura,0.34,0.0,2.14,0.22,2.75,2023/09/14
ex6-82,82,Squirtle,Common,Toshinao Aoki,2.18,0.0,34.99,2.22,0.0,2023/09/14
ex6-83,83,Squirtle,Common,Mitsuhiro Arita,3.67,0.0,58.32,1.92,49.94,2023/09/14
ex6-84,84,Venonat,Common,Kagemaru Himeno,0.47,0.0,3.1,0.45,0.0,2023/09/14
ex6-85,85,Voltorb,Common,Ken Sugimori,0.53,0.0,6.45,0.38,3.55,2023/09/14
ex6-86,86,Weedle,Common,Hajime Kusajima,0.32,0.0,5.68,0.39,3.5,2023/09/14
ex6-87,87,Bill's Maintenance,Uncommon,Ken Sugimori,0.32,0.0,2.12,0.27,0.2,2023/09/14
ex6-88,88,Celio's Network,Uncommon,Ken Sugimori,0.53,0.0,4.14,0.7,4.0,2023/09/14
ex6-89,89,Energy Removal 2,Uncommon,Keiji Kinebuchi,0.25,0.0,2.97,0.59,0.0,2023/09/14
ex6-90,90,Energy Switch,Uncommon,Ken Ikuji,0.86,0.0,4.49,0.56,0.0,2023/09/14
ex6-91,91,EXP.ALL,Uncommon,Keiji Kinebuchi,0.79,0.0,2.47,1.0,0.0,2023/09/14
ex6-92,92,Great Ball,Uncommon,Nakaoka,1.37,0.0,13.74,1.29,0.0,2023/09/14
ex6-93,93,Life Herb,Uncommon,Ryo Ueda,0.29,0.0,2.18,0.32,0.0,2023/09/14
ex6-94,94,Mt. Moon,Uncommon,Nakaoka,1.24,0.0,5.75,0.35,0.0,2023/09/14
ex6-95,95,Poké Ball,Uncommon,K. Hoshiba,0.73,0.0,4.32,0.0,0.0,2023/09/14
ex6-96,96,PokéDex HANDY909,Uncommon,K. Utsunomiya,1.06,0.0,2.1,0.54,0.0,2023/09/14
ex6-97,97,Pokémon Reversal,Uncommon,Hiromichi Sugiyama,0.91,0.0,3.8,4.7,3.59,2023/09/14
ex6-98,98,Prof. Oak's Research,Uncommon,Ken Sugimori,0.84,0.0,3.99,80.0,0.0,2023/09/14
ex6-99,99,Super Scoop Up,Uncommon,Keiji Kinebuchi,1.1,0.0,6.74,0.82,6.29,2023/09/14
ex6-100,100,VS Seeker,Uncommon,K. Utsunomiya,6.32,0.0,23.36,4.99,7.98,2023/09/14
ex6-101,101,Potion,Common,Keiji Kinebuchi,0.2,0.0,2.75,0.11,0.0,2023/09/14
ex6-102,102,Switch,Common,Hiromichi Sugiyama,0.25,0.0,8.16,0.02,0.0,2023/09/14
ex6-103,103,Multi Energy,Rare,Takumi Akabane,0.99,0.0,5.23,0.57,3.99,2023/09/14
ex6-104,104,Blastoise ex,Rare Holo EX,Hikaru Koike,0.0,220.0,0.0,85.0,0.0,2023/09/14
ex6-105,105,Charizard ex,Rare Holo EX,Hiromichi Sugiyama,0.0,790.5,0.0,120.0,0.0,2023/09/14
ex6-106,106,Clefable ex,Rare Holo EX,Mitsuhiro Arita,0.0,50.08,0.0,8.97,0.0,2023/09/14
ex6-107,107,Electrode ex,Rare Holo EX,Ryo Ueda,0.0,38.55,0.0,19.32,0.0,2023/09/14
ex6-108,108,Gengar ex,Rare Holo EX,Mitsuhiro Arita,0.0,269.5,0.0,170.25,0.0,2023/09/14
ex6-109,109,Gyarados ex,Rare Holo EX,Hikaru Koike,0.0,157.5,0.0,125.0,0.0,2023/09/14
ex6-110,110,Mr. Mime ex,Rare Holo EX,Ryo Ueda,0.0,35.06,0.0,23.71,0.0,2023/09/14
ex6-111,111,Mr. Mime ex,Rare Holo EX,Ryo Ueda,0.0,38.18,0.0,0.0,0.0,2023/09/14
ex6-112,112,Venusaur ex,Rare Holo EX,Ryo Ueda,0.0,127.64,0.0,73.5,0.0,2023/09/14
ex6-113,113,Charmander,Rare Secret,Ken Sugimori,0.0,60.75,0.0,17.99,0.0,2023/09/14
ex6-114,114,Articuno ex,Rare Secret,Ryo Ueda,0.0,155.58,0.0,25.83,0.0,2023/09/14
ex6-115,115,Moltres ex,Rare Secret,Ryo Ueda,0.0,104.99,0.0,24.73,0.0,2023/09/14
ex6-116,116,Zapdos ex,Rare Secret,Ryo Ueda,0.0,110.1,0.0,16.23,0.0,2023/09/14
