ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
base3-1,1,Aerodactyl,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,13.51,0.0,2023/09/14
base3-2,2,Articuno,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,37.39,0.0,2023/09/14
base3-3,3,Ditto,Rare Holo,Keiji Kinebuchi,0.0,0.0,0.0,19.3,0.0,2023/09/14
base3-4,4,Dragonite,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,50.81,0.0,2023/09/14
base3-5,5,Gengar,Rare Holo,Keiji Kinebuchi,0.0,0.0,0.0,38.98,0.0,2023/09/14
base3-6,6,Haunter,Rare Holo,Ken Sugimori,0.0,0.0,0.0,14.87,0.0,2023/09/14
base3-7,7,Hitmonlee,Rare Holo,Ken Sugimori,0.0,0.0,0.0,27.13,0.0,2023/09/14
base3-8,8,Hypno,Rare Holo,Ken Sugimori,0.0,0.0,0.0,16.91,0.0,2023/09/14
base3-9,9,Kabutops,Rare Holo,Ken Sugimori,0.0,0.0,0.0,26.33,0.0,2023/09/14
base3-10,10,Lapras,Rare Holo,Ken Sugimori,0.0,0.0,0.0,9.56,0.0,2023/09/14
base3-11,11,Magneton,Rare Holo,Ken Sugimori,0.0,0.0,0.0,13.44,0.0,2023/09/14
base3-12,12,Moltres,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,34.13,0.0,2023/09/14
base3-13,13,Muk,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,5.65,0.0,2023/09/14
base3-14,14,Raichu,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,26.49,0.0,2023/09/14
base3-15,15,Zapdos,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,23.36,0.0,2023/09/14
base3-16,16,Aerodactyl,Rare,Kagemaru Himeno,0.0,0.0,0.0,8.36,0.0,2023/09/14
base3-17,17,Articuno,Rare,Mitsuhiro Arita,0.0,0.0,0.0,7.75,0.0,2023/09/14
base3-18,18,Ditto,Rare,Keiji Kinebuchi,0.0,0.0,0.0,5.17,0.0,2023/09/14
base3-19,19,Dragonite,Rare,Kagemaru Himeno,0.0,0.0,0.0,11.02,0.0,2023/09/14
base3-20,20,Gengar,Rare,Keiji Kinebuchi,0.0,0.0,0.0,10.0,0.0,2023/09/14
base3-21,21,Haunter,Rare,Ken Sugimori,0.0,0.0,0.0,5.93,0.0,2023/09/14
base3-22,22,Hitmonlee,Rare,Ken Sugimori,0.0,0.0,0.0,7.43,0.0,2023/09/14
base3-23,23,Hypno,Rare,Ken Sugimori,0.0,0.0,0.0,4.41,0.0,2023/09/14
base3-24,24,Kabutops,Rare,Ken Sugimori,0.0,0.0,0.0,6.88,0.0,2023/09/14
base3-25,25,Lapras,Rare,Ken Sugimori,0.0,0.0,0.0,5.78,0.0,2023/09/14
base3-26,26,Magneton,Rare,Ken Sugimori,0.0,0.0,0.0,5.72,0.0,2023/09/14
base3-27,27,Moltres,Rare,Mitsuhiro Arita,0.0,0.0,0.0,7.22,0.0,2023/09/14
base3-28,28,Muk,Rare,Mitsuhiro Arita,0.0,0.0,0.0,3.87,0.0,2023/09/14
base3-29,29,Raichu,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.47,0.0,2023/09/14
base3-30,30,Zapdos,Rare,Mitsuhiro Arita,0.0,0.0,0.0,8.26,0.0,2023/09/14
base3-31,31,Arbok,Uncommon,Ken Sugimori,0.0,0.0,0.0,1.34,0.0,2023/09/14
base3-32,32,Cloyster,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.09,0.0,2023/09/14
base3-33,33,Gastly,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,1.18,0.0,2023/09/14
base3-34,34,Golbat,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.59,0.0,2023/09/14
base3-35,35,Golduck,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.11,0.0,2023/09/14
base3-36,36,Golem,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,2.03,0.0,2023/09/14
base3-37,37,Graveler,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.73,0.0,2023/09/14
base3-38,38,Kingler,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.63,0.0,2023/09/14
base3-39,39,Magmar,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,0.99,0.0,2023/09/14
base3-40,40,Omastar,Uncommon,Ken Sugimori,0.0,0.0,0.0,1.28,0.0,2023/09/14
base3-41,41,Sandslash,Uncommon,Ken Sugimori,0.0,0.0,0.0,1.26,0.0,2023/09/14
