ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
gym2-1,1,Blaine's Arcanine,Rare Holo,Ken Sugimori,,,,200.49,,2023/09/10
gym2-2,2,Blaine's Charizard,Rare Holo,Ken Sugimori,,,,749.49,,2023/09/10
gym2-3,3,Brock's Ninetales,Rare Holo,Ken Sugimori,,,,76.87,,2023/09/10
gym2-4,4,Erika's Venusaur,Rare Holo,Ken Sugimori,,,,165.0,,2023/09/10
gym2-5,5,Giovanni's Gyarados,Rare Holo,Ken Sugimori,,,,119.49,,2023/09/10
gym2-6,6,Giovanni's Machamp,Rare Holo,Ken Sugimori,,,,86.16,,2023/09/10
gym2-7,7,Giovanni's Nidoking,Rare Holo,Ken Sugimori,,,,96.42,,2023/09/10
gym2-8,8,Giovanni's Persian,Rare Holo,Ken Sugimori,,,,70.64,,2023/09/10
gym2-9,9,Koga's Beedrill,Rare Holo,Ken Sugimori,,,,67.16,,2023/09/10
gym2-10,10,Koga's Ditto,Rare Holo,Ken Sugimori,,,,54.37,,2023/09/10
gym2-11,11,Lt. Surge's Raichu,Rare Holo,Ken Sugimori,,,,82.41,,2023/09/10
gym2-12,12,Misty's Golduck,Rare Holo,Ken Sugimori,,,,70.67,,2023/09/10
gym2-13,13,Misty's Gyarados,Rare Holo,Ken Sugimori,,,,187.19,,2023/09/10
gym2-14,14,Rocket's Mewtwo,Rare Holo,Shin-ichi Yoshida,,,,299.69,,2023/09/10
gym2-15,15,Rocket's Zapdos,Rare Holo,Shin-ichi Yoshida,,,,149.15,,2023/09/10
gym2-16,16,Sabrina's Alakazam,Rare Holo,Ken Sugimori,,,,131.47,,2023/09/10
gym2-17,17,Blaine,Rare Holo,Ken Sugimori,,,,56.45,,2023/09/10
gym2-18,18,Giovanni,Rare Holo,Ken Sugimori,,,,53.34,,2023/09/10
gym2-19,19,Koga,Rare Holo,Ken Sugimori,,,,45.01,,2023/09/10
