ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
gym1-1,1,Blaine's Moltres,Rare Holo,Ken Sugimori,,,,183.81,,2023/09/10
gym1-2,2,Brock's Rhydon,Rare Holo,Ken Sugimori,,,,60.3,,2023/09/10
gym1-3,3,Erika's Clefable,Rare Holo,Atsuko Nishida,,,,55.86,,2023/09/10
gym1-4,4,Erika's Dragonair,Rare Holo,Atsuko Nishida,,,,127.49,,2023/09/10
gym1-5,5,Erika's Vileplume,Rare Holo,Ken Sugimori,,,,43.51,,2023/09/10
gym1-6,6,Lt. Surge's Electabuzz,Rare Holo,Ken Sugimori,,,,57.5,,2023/09/10
gym1-7,7,Lt. Surge's Fearow,Rare Holo,Ken Sugimori,,,,59.97,,2023/09/10
gym1-8,8,Lt. Surge's Magneton,Rare Holo,Ken Sugimori,,,,54.99,,2023/09/10
gym1-9,9,Misty's Seadra,Rare Holo,Atsuko Nishida,,,,41.47,,2023/09/10
gym1-10,10,Misty's Tentacruel,Rare Holo,Ken Sugimori,,,,49.47,,2023/09/10
gym1-11,11,Rocket's Hitmonchan,Rare Holo,Ken Sugimori,,,,69.13,,2023/09/10
gym1-12,12,Rocket's Moltres,Rare Holo,Ken Sugimori,,,,118.99,,2023/09/10
gym1-13,13,Rocket's Scyther,Rare Holo,Ken Sugimori,,,,107.39,,2023/09/10
gym1-14,14,Sabrina's Gengar,Rare Holo,Ken Sugimori,,,,251.01,,2023/09/10
gym1-15,15,Brock,Rare Holo,Ken Sugimori,,,,44.3,,2023/09/10
gym1-16,16,Erika,Rare Holo,Ken Sugimori,,,,58.22,,2023/09/10
gym1-17,17,Lt. Surge,Rare Holo,Ken Sugimori,,,,48.43,,2023/09/10
gym1-18,18,Misty,Rare Holo,Ken Sugimori,,,,71.29,,2023/09/10
gym1-19,19,The Rocket's Trap,Rare Holo,Ken Sugimori,,,,31.2,,2023/09/10
gym1-20,20,Brock's Golem,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-21,21,Brock's Onix,Rare,Benimaru Itoh,,,,,,2023/09/10
gym1-22,22,Brock's Rhyhorn,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-23,23,Brock's Sandslash,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-24,24,Brock's Zubat,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-25,25,Erika's Clefairy,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-26,26,Erika's Victreebel,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-27,27,Lt. Surge's Electabuzz,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-28,28,Lt. Surge's Raichu,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-29,29,Misty's Cloyster,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-30,30,Misty's Goldeen,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-31,31,Misty's Poliwrath,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-32,32,Misty's Tentacool,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-33,33,Rocket's Snorlax,Rare,Shin-ichi Yoshida,,,,,,2023/09/10
gym1-34,34,Sabrina's Venomoth,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-35,35,Blaine's Growlithe,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-36,36,Blaine's Kangaskhan,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-37,37,Blaine's Magmar,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-38,38,Brock's Geodude,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym1-39,39,Brock's Golbat,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-40,40,Brock's Graveler,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-41,41,Brock's Lickitung,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-42,42,Erika's Dratini,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-43,43,Erika's Exeggcute,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym1-44,44,Erika's Exeggutor,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-45,45,Erika's Gloom,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-46,46,Erika's Gloom,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-47,47,Erika's Oddish,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym1-48,48,Erika's Weepinbell,Uncommon,Atsuko Nishida,,,,,,2023/09/10
gym1-49,49,Erika's Weepinbell,Uncommon,Ken Sugimori,,,,,,2023/09/10
