ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex5-1,1,Banette,Rare Holo,Midori Harada,0.0,15.38,12.0,4.98,3.0,2023/09/14
ex5-2,2,Claydol,Rare Holo,Kyoko Umemoto,0.0,10.08,6.53,4.36,4.99,2023/09/14
ex5-3,3,Crobat,Rare Holo,Midori Harada,0.0,8.98,8.76,3.15,2.65,2023/09/14
ex5-4,4,Dark Celebi,Rare Holo,Ken Ikuji,0.0,19.49,37.31,5.5,9.59,2023/09/14
ex5-5,5,Electrode,Rare Holo,Kyoko Umemoto,0.0,10.32,5.47,2.41,2.95,2023/09/14
ex5-6,6,Exploud,Rare Holo,Tomokazu Komiya,0.0,10.94,11.86,3.46,0.0,2023/09/14
ex5-7,7,Heracross,Rare Holo,Hajime Kusajima,0.0,7.4,5.97,4.63,2.7,2023/09/14
ex5-8,8,Jirachi,Rare Holo,Ryo Ueda,0.0,9.2,20.72,3.58,5.31,2023/09/14
ex5-9,9,Machamp,Rare Holo,Hajime Kusajima,0.0,23.89,15.68,2.73,0.0,2023/09/14
ex5-10,10,Medicham,Rare Holo,Atsuko Nishida,0.0,6.12,6.91,4.5,2.9,2023/09/14
ex5-11,11,Metagross,Rare Holo,Kouki Saitou,0.0,15.59,13.49,0.96,4.47,2023/09/14
ex5-12,12,Milotic,Rare Holo,Atsuko Nishida,0.0,21.29,21.82,7.57,0.5,2023/09/14
ex5-13,13,Pinsir,Rare Holo,Hajime Kusajima,0.0,10.05,7.77,2.16,3.16,2023/09/14
ex5-14,14,Shiftry,Rare Holo,Hisao Nakamura,0.0,9.38,7.46,2.12,0.0,2023/09/14
ex5-15,15,Walrein,Rare Holo,Atsuko Nishida,0.0,9.13,7.49,5.48,0.15,2023/09/14
ex5-16,16,Bellossom,Rare,Yuka Morii,0.69,0.0,4.38,0.33,2.69,2023/09/14
ex5-17,17,Chimecho,Rare,Miki Tanaka,1.24,0.0,2.65,0.48,9.6,2023/09/14
ex5-18,18,Gorebyss,Rare,Kagemaru Himeno,2.25,0.0,4.85,0.48,5.0,2023/09/14
ex5-19,19,Huntail,Rare,Kagemaru Himeno,0.55,0.0,3.49,0.24,0.0,2023/09/14
ex5-20,20,Masquerain,Rare,Toshinao Aoki,0.64,0.0,5.47,1.84,0.9,2023/09/14
ex5-21,21,Metang,Rare,Mitsuhiro Arita,1.38,0.0,3.85,0.95,1.76,2023/09/14
ex5-22,22,Ninetales,Rare,Toshinao Aoki,2.94,0.0,26.5,0.64,0.0,2023/09/14
ex5-23,23,Rain Castform,Rare,Sumiyoshi Kizuki,1.36,0.0,8.58,0.96,3.49,2023/09/14
ex5-24,24,Relicanth,Rare,Kagemaru Himeno,0.96,0.0,8.01,0.62,0.5,2023/09/14
ex5-25,25,Snow-cloud Castform,Rare,Sumiyoshi Kizuki,1.32,0.0,6.47,0.69,2.5,2023/09/14
ex5-26,26,Sunny Castform,Rare,Sumiyoshi Kizuki,1.12,0.0,7.15,0.36,0.0,2023/09/14
ex5-27,27,Tropius,Rare,Kouki Saitou,1.02,0.0,6.13,0.41,2.25,2023/09/14
ex5-28,28,Beldum,Uncommon,Ken Sugimori,0.75,0.0,1.76,0.76,1.03,2023/09/14
ex5-29,29,Beldum,Uncommon,Mitsuhiro Arita,3.45,0.0,5.24,0.91,3.0,2023/09/14
ex5-30,30,Castform,Uncommon,Sumiyoshi Kizuki,0.81,0.0,3.31,0.81,2.33,2023/09/14
ex5-31,31,Claydol,Uncommon,Ken Sugimori,0.5,0.0,1.2,0.63,3.0,2023/09/14
ex5-32,32,Corsola,Uncommon,Naoyo Kimura,0.57,0.0,7.49,0.33,3.73,2023/09/14
ex5-33,33,Dodrio,Uncommon,Miki Tanaka,0.32,0.0,2.54,0.15,0.0,2023/09/14
ex5-34,34,Glalie,Uncommon,Midori Harada,0.79,0.0,2.35,0.39,3.0,2023/09/14
ex5-35,35,Gloom,Uncommon,Yuka Morii,0.92,0.0,6.13,0.4,0.0,2023/09/14
ex5-36,36,Golbat,Uncommon,Midori Harada,0.55,0.0,2.1,0.93,0.0,2023/09/14
ex5-37,37,Igglybuff,Uncommon,Naoyo Kimura,1.72,0.0,4.36,0.54,4.0,2023/09/14
ex5-38,38,Lanturn,Uncommon,Aya Kusube,0.68,0.0,7.22,0.53,2.8,2023/09/14
ex5-39,39,Loudred,Uncommon,Tomokazu Komiya,0.63,0.0,3.16,0.21,0.0,2023/09/14
ex5-40,40,Luvdisc,Uncommon,Miki Tanaka,0.78,0.0,9.14,0.11,0.0,2023/09/14
ex5-41,41,Machoke,Uncommon,Hajime Kusajima,0.74,0.0,2.85,0.0,0.0,2023/09/14
ex5-42,42,Medicham,Uncommon,Ken Sugimori,0.62,0.0,3.99,0.75,0.0,2023/09/14
ex5-43,43,Metang,Uncommon,Kouki Saitou,0.42,0.0,3.49,0.29,0.0,2023/09/14
ex5-44,44,Metang,Uncommon,Ken Sugimori,1.27,0.0,2.22,0.29,1.8,2023/09/14
ex5-45,45,Nuzleaf,Uncommon,Hisao Nakamura,0.57,0.0,1.42,1.0,1.66,2023/09/14
ex5-46,46,Rhydon,Uncommon,Atsuko Nishida,0.98,0.0,9.01,0.53,2.75,2023/09/14
ex5-47,47,Sealeo,Uncommon,Atsuko Nishida,0.87,0.0,2.15,0.51,1.0,2023/09/14
ex5-48,48,Spinda,Uncommon,Kagemaru Himeno,1.37,0.0,13.6,0.79,2.5,2023/09/14
ex5-49,49,Starmie,Uncommon,Aya Kusube,0.51,0.0,7.76,0.23,0.0,2023/09/14
ex5-50,50,Swalot,Uncommon,Yuka Morii,3.12,0.0,4.75,3.35,1.5,2023/09/14
