ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
base2-1,1,Clefable,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,3.0,0.0,2023/09/13
base2-2,2,Electrode,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,13.3,0.0,2023/09/13
base2-3,3,Flareon,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,23.99,0.0,2023/09/13
base2-4,4,Jolteon,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,22.13,0.0,2023/09/13
base2-5,5,Kangaskhan,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,7.51,0.0,2023/09/13
base2-6,6,Mr. Mime,Rare Holo,Ken Sugimori,0.0,0.0,0.0,15.12,0.0,2023/09/13
base2-7,7,Nidoqueen,Rare Holo,Ken Sugimori,0.0,0.0,0.0,15.66,0.0,2023/09/13
base2-8,8,Pidgeot,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,17.08,0.0,2023/09/13
base2-9,9,Pinsir,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,13.76,0.0,2023/09/13
base2-10,10,Scyther,Rare Holo,Ken Sugimori,0.0,0.0,0.0,17.95,0.0,2023/09/13
base2-11,11,Snorlax,Rare Holo,Ken Sugimori,0.0,0.0,0.0,24.86,0.0,2023/09/13
base2-12,12,Vaporeon,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,9.75,0.0,2023/09/13
base2-13,13,Venomoth,Rare Holo,Ken Sugimori,0.0,0.0,0.0,13.13,0.0,2023/09/13
base2-14,14,Victreebel,Rare Holo,Ken Sugimori,0.0,0.0,0.0,15.03,0.0,2023/09/13
base2-15,15,Vileplume,Rare Holo,Keiji Kinebuchi,0.0,0.0,0.0,13.16,0.0,2023/09/13
base2-16,16,Wigglytuff,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,15.59,0.0,2023/09/13
base2-17,17,Clefable,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.05,0.0,2023/09/13
base2-18,18,Electrode,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.18,0.0,2023/09/13
base2-19,19,Flareon,Rare,Kagemaru Himeno,0.0,0.0,0.0,7.37,0.0,2023/09/13
base2-20,20,Jolteon,Rare,Kagemaru Himeno,0.0,0.0,0.0,8.28,0.0,2023/09/13
base2-21,21,Kangaskhan,Rare,Mitsuhiro Arita,0.0,0.0,0.0,5.11,0.0,2023/09/13
base2-22,22,Mr. Mime,Rare,Ken Sugimori,0.0,0.0,0.0,3.01,0.0,2023/09/13
base2-23,23,Nidoqueen,Rare,Ken Sugimori,0.0,0.0,0.0,4.5,0.0,2023/09/13
base2-24,24,Pidgeot,Rare,Kagemaru Himeno,0.0,0.0,0.0,4.9,0.0,2023/09/13
base2-25,25,Pinsir,Rare,Kagemaru Himeno,0.0,0.0,0.0,3.55,0.0,2023/09/13
base2-26,26,Scyther,Rare,Ken Sugimori,0.0,0.0,0.0,6.12,0.0,2023/09/13
base2-27,27,Snorlax,Rare,Ken Sugimori,0.0,0.0,0.0,6.78,0.0,2023/09/13
base2-28,28,Vaporeon,Rare,Kagemaru Himeno,0.0,0.0,0.0,4.69,0.0,2023/09/13
base2-29,29,Venomoth,Rare,Ken Sugimori,0.0,0.0,0.0,3.34,0.0,2023/09/13
base2-30,30,Victreebel,Rare,Ken Sugimori,0.0,0.0,0.0,4.39,0.0,2023/09/13
base2-31,31,Vileplume,Rare,Keiji Kinebuchi,0.0,0.0,0.0,3.3,0.0,2023/09/13
base2-32,32,Wigglytuff,Rare,Mitsuhiro Arita,0.0,0.0,0.0,2.97,0.0,2023/09/13
base2-33,33,Butterfree,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.76,0.0,2023/09/13
base2-34,34,Dodrio,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,0.92,0.0,2023/09/13
base2-35,35,Exeggutor,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.85,0.0,2023/09/13
base2-36,36,Fearow,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,0.62,0.0,2023/09/13
base2-37,37,Gloom,Uncommon,Keiji Kinebuchi,0.0,0.0,0.0,0.54,0.0,2023/09/13
base2-38,38,Lickitung,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,0.82,0.0,2023/09/13
base2-39,39,Marowak,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,0.78,0.0,2023/09/13
base2-40,40,Nidorina,Uncommon,Ken Sugimori,0.0,0.0,0.0,0.58,0.0,2023/09/13
base2-41,41,Parasect,Uncommon,Ken Sugimori,0.0,0.0,0.0,0.72,0.0,2023/09/13
base2-42,42,Persian,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.76,0.0,2023/09/13
base2-43,43,Primeape,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.8,0.0,2023/09/13
base2-44,44,Rapidash,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,1.1,0.0,2023/09/13
base2-45,45,Rhydon,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.87,0.0,2023/09/13
base2-46,46,Seaking,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.94,0.0,2023/09/13
base2-47,47,Tauros,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.79,0.0,2023/09/13
base2-48,48,Weepinbell,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.69,0.0,2023/09/13
base2-49,49,Bellsprout,Common,Kagemaru Himeno,0.0,0.0,0.0,0.55,0.0,2023/09/13
base2-50,50,Cubone,Common,Mitsuhiro Arita,0.0,0.0,0.0,0.41,0.0,2023/09/13
base2-51,51,Eevee,Common,Kagemaru Himeno,0.0,0.0,0.0,1.27,0.0,2023/09/13
base2-52,52,Exeggcute,Common,Mitsuhiro Arita,0.0,0.0,0.0,0.35,0.0,2023/09/13
base2-53,53,Goldeen,Common,Kagemaru Himeno,0.0,0.0,0.0,0.71,0.0,2023/09/13
base2-54,54,Jigglypuff,Common,Kagemaru Himeno,0.0,0.0,0.0,0.49,0.0,2023/09/13
base2-55,55,Mankey,Common,Kagemaru Himeno,0.0,0.0,0.0,0.34,0.0,2023/09/13
base2-56,56,Meowth,Common,Mitsuhiro Arita,0.0,0.0,0.0,19.12,0.0,2023/09/13
base2-57,57,Nidoran ♀,Common,Ken Sugimori,0.0,0.0,0.0,0.36,0.0,2023/09/13
base2-58,58,Oddish,Common,Keiji Kinebuchi,0.0,0.0,0.0,0.53,0.0,2023/09/13
base2-59,59,Paras,Common,Ken Sugimori,0.0,0.0,0.0,0.28,0.0,2023/09/13
base2-60,60,Pikachu,Common,Ken Sugimori,0.0,0.0,0.0,1.95,0.0,2023/09/13
base2-61,61,Rhyhorn,Common,Mitsuhiro Arita,0.0,0.0,0.0,0.47,0.0,2023/09/13
base2-62,62,Spearow,Common,Mitsuhiro Arita,0.0,0.0,0.0,0.37,0.0,2023/09/13
base2-63,63,Venonat,Common,Mitsuhiro Arita,0.0,0.0,0.0,0.38,0.0,2023/09/13
base2-64,64,Poké Ball,Common,Keiji Kinebuchi,0.0,0.0,0.0,0.19,0.0,2023/09/13
