ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
neo1-1,1,Ampharos,Rare Holo,Ken Sugimori,0.0,0.0,0.0,10.71,0.0,2023/09/14
neo1-2,2,Azumarill,Rare Holo,Ken Sugimori,0.0,0.0,0.0,9.01,0.0,2023/09/14
neo1-3,3,Bellossom,Rare Holo,Atsuko Nishida,0.0,0.0,0.0,10.4,0.0,2023/09/14
neo1-4,4,Feraligatr,Rare Holo,Ken Sugimori,0.0,0.0,0.0,18.07,0.0,2023/09/14
neo1-5,5,Feraligatr,Rare Holo,Ken Sugimori,0.0,0.0,0.0,19.43,0.0,2023/09/14
neo1-6,6,Heracross,Rare Holo,Ken Sugimori,0.0,0.0,0.0,13.97,0.0,2023/09/14
neo1-7,7,Jumpluff,Rare Holo,Atsuko Nishida,0.0,0.0,0.0,6.68,0.0,2023/09/14
neo1-8,8,Kingdra,Rare Holo,Ken Sugimori,0.0,0.0,0.0,6.13,0.0,2023/09/14
neo1-9,9,Lugia,Rare Holo,Hironobu Yoshida,0.0,0.0,0.0,121.14,0.0,2023/09/14
neo1-10,10,Meganium,Rare Holo,Ken Sugimori,0.0,0.0,0.0,19.43,0.0,2023/09/14
neo1-11,11,Meganium,Rare Holo,Ken Sugimori,0.0,0.0,0.0,17.67,0.0,2023/09/14
neo1-12,12,Pichu,Rare Holo,Ken Sugimori,0.0,0.0,0.0,18.48,0.0,2023/09/14
neo1-13,13,Skarmory,Rare Holo,Ken Sugimori,0.0,0.0,0.0,8.88,0.0,2023/09/14
neo1-14,14,Slowking,Rare Holo,Ken Sugimori,0.0,0.0,0.0,12.02,0.0,2023/09/14
neo1-15,15,Steelix,Rare Holo,Ken Sugimori,0.0,0.0,0.0,13.74,0.0,2023/09/14
neo1-16,16,Togetic,Rare Holo,Ken Sugimori,0.0,0.0,0.0,13.22,0.0,2023/09/14
neo1-17,17,Typhlosion,Rare Holo,Shin-ichi Yoshida,0.0,0.0,0.0,51.14,0.0,2023/09/14
neo1-18,18,Typhlosion,Rare Holo,Ken Sugimori,0.0,0.0,0.0,34.5,0.0,2023/09/14
neo1-19,19,Metal Energy,Rare Holo,Milky Isobe,0.0,0.0,0.0,6.51,0.0,2023/09/14
neo1-20,20,Cleffa,Rare,Kagemaru Himeno,0.0,0.0,0.0,5.57,0.0,2023/09/14
