ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
pop1-1,1,Blaziken,Rare,Katsura Tabata,7.99,7.54,0.0,12.18,0.0,2023/09/14
pop1-2,2,Metagross,Rare,Ken Sugimori,3.84,2.73,0.0,10.95,0.0,2023/09/14
pop1-3,3,Rayquaza,Rare,Katsura Tabata,9.43,12.87,0.0,21.47,0.0,2023/09/14
pop1-4,4,Sceptile,Rare,Hiromichi Sugiyama,11.93,9.15,0.0,1.48,0.0,2023/09/14
pop1-5,5,Swampert,Rare,Hiromichi Sugiyama,3.83,9.01,0.0,2.58,0.0,2023/09/14
pop1-6,6,Beautifly,Uncommon,Ken Sugimori,5.04,0.0,0.0,1.0,0.0,2023/09/14
pop1-7,7,Masquerain,Uncommon,Kagemaru Himeno,4.14,0.0,0.0,1.5,0.0,2023/09/14
pop1-8,8,Murkrow,Uncommon,Ken Sugimori,5.02,0.0,0.0,1.93,0.0,2023/09/14
pop1-9,9,Pupitar,Uncommon,Hisao Nakamura,4.05,0.0,0.0,0.89,0.0,2023/09/14
pop1-10,10,Torkoal,Uncommon,Ken Sugimori,5.7,0.0,0.0,3.37,0.0,2023/09/14
pop1-11,11,Larvitar,Common,Hisao Nakamura,0.61,0.0,0.0,0.63,0.0,2023/09/14
pop1-12,12,Minun,Common,Ken Sugimori,0.84,0.0,0.0,0.51,0.0,2023/09/14
pop1-13,13,Plusle,Common,Ken Sugimori,0.61,0.0,0.0,0.34,0.0,2023/09/14
pop1-14,14,Surskit,Common,Kagemaru Himeno,0.75,0.0,0.0,0.65,0.0,2023/09/14
pop1-15,15,Swellow,Common,Kagemaru Himeno,0.49,0.0,0.0,0.33,0.0,2023/09/14
pop1-16,16,Armaldo ex,Rare,Hikaru Koike,10.0,0.0,0.0,0.0,0.0,2023/09/14
pop1-17,17,Tyranitar ex,Rare,Hisao Nakamura,0.0,27.28,0.0,35.04,0.0,2023/09/14
