ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex1-1,1,Aggron,Rare Holo,Mitsuhiro Arita,0.0,19.23,13.73,7.96,2.65,2023/09/14
ex1-2,2,Beautifly,Rare Holo,Hajime Kusajima,0.0,11.88,5.46,3.7,2.0,2023/09/14
ex1-3,3,Blaziken,Rare Holo,Kouki Saitou,0.0,34.94,32.68,15.45,0.0,2023/09/14
ex1-4,4,Camerupt,Rare Holo,Ken Sugimori,0.0,9.48,6.06,6.6,0.0,2023/09/14
ex1-5,5,Delcatty,Rare Holo,Atsuko Nishida,0.0,17.93,13.48,7.61,0.0,2023/09/14
ex1-6,6,Dustox,Rare Holo,Midori Harada,0.0,12.61,7.42,1.48,2.24,2023/09/14
ex1-7,7,Gardevoir,Rare Holo,Ken Sugimori,0.0,25.36,23.57,4.78,0.0,2023/09/14
ex1-8,8,Hariyama,Rare Holo,Naoyo Kimura,0.0,10.05,6.94,4.48,2.82,2023/09/14
ex1-9,9,Manectric,Rare Holo,Mitsuhiro Arita,0.0,8.42,9.85,4.9,2.5,2023/09/14
ex1-10,10,Mightyena,Rare Holo,Atsuko Nishida,0.0,13.46,11.12,4.95,5.72,2023/09/14
ex1-11,11,Sceptile,Rare Holo,Midori Harada,0.0,37.49,12.94,19.17,4.0,2023/09/14
ex1-12,12,Slaking,Rare Holo,Ken Sugimori,0.0,11.59,6.06,8.28,2.9,2023/09/14
ex1-13,13,Swampert,Rare Holo,Mitsuhiro Arita,0.0,34.94,22.4,12.7,10.0,2023/09/14
ex1-14,14,Wailord,Rare Holo,Ken Sugimori,0.0,15.28,15.27,77.5,2.99,2023/09/14
ex1-15,15,Blaziken,Rare,Ken Sugimori,1.12,0.0,6.58,0.91,3.25,2023/09/14
ex1-16,16,Breloom,Rare,Ken Sugimori,1.31,0.0,5.41,1.08,0.49,2023/09/14
ex1-17,17,Donphan,Rare,Kagemaru Himeno,0.8,0.0,4.5,1.03,1.69,2023/09/14
ex1-18,18,Nosepass,Rare,Mitsuhiro Arita,1.15,0.0,4.49,0.63,0.2,2023/09/14
ex1-19,19,Pelipper,Rare,Kouki Saitou,0.62,0.0,8.34,0.66,0.0,2023/09/14
ex1-20,20,Sceptile,Rare,Ken Sugimori,2.79,0.0,16.9,0.98,1.57,2023/09/14
ex1-21,21,Seaking,Rare,Hajime Kusajima,0.61,0.0,2.11,0.76,0.0,2023/09/14
ex1-22,22,Sharpedo,Rare,Hajime Kusajima,1.4,0.0,8.55,1.0,1.98,2023/09/14
ex1-23,23,Swampert,Rare,Ken Sugimori,1.41,0.0,19.86,0.66,9.49,2023/09/14
ex1-24,24,Weezing,Rare,Atsuko Nishida,0.91,0.0,2.97,0.51,1.2,2023/09/14
ex1-25,25,Aron,Uncommon,Midori Harada,1.63,0.0,4.92,0.65,0.0,2023/09/14
ex1-26,26,Cascoon,Uncommon,Midori Harada,2.33,0.0,3.75,0.45,1.6,2023/09/14
ex1-27,27,Combusken,Uncommon,Kouki Saitou,1.25,0.0,12.99,0.51,0.0,2023/09/14
ex1-28,28,Combusken,Uncommon,Ken Sugimori,3.42,0.0,8.6,1.46,4.0,2023/09/14
ex1-29,29,Delcatty,Uncommon,Ken Sugimori,0.43,0.0,5.49,0.4,0.5,2023/09/14
ex1-30,30,Electrike,Uncommon,Hajime Kusajima,0.91,0.0,4.38,0.37,0.0,2023/09/14
ex1-31,31,Grovyle,Uncommon,Midori Harada,1.05,0.0,6.68,1.28,0.0,2023/09/14
ex1-32,32,Grovyle,Uncommon,Ken Sugimori,2.29,0.0,16.79,1.18,3.98,2023/09/14
ex1-33,33,Hariyama,Uncommon,Ken Sugimori,0.49,0.0,1.23,0.41,1.29,2023/09/14
ex1-34,34,Kirlia,Uncommon,Ken Sugimori,1.47,0.0,7.63,0.69,0.0,2023/09/14
ex1-35,35,Kirlia,Uncommon,Atsuko Nishida,2.16,0.0,8.02,3.9,4.0,2023/09/14
ex1-36,36,Lairon,Uncommon,Ken Sugimori,1.91,0.0,2.53,0.05,2.25,2023/09/14
ex1-37,37,Lairon,Uncommon,Mitsuhiro Arita,1.26,0.0,5.37,0.72,0.0,2023/09/14
ex1-38,38,Linoone,Uncommon,Ken Sugimori,1.51,0.0,3.76,0.56,0.0,2023/09/14
ex1-39,39,Manectric,Uncommon,Ken Sugimori,0.99,0.0,2.83,1.55,0.39,2023/09/14
ex1-40,40,Marshtomp,Uncommon,Mitsuhiro Arita,0.74,0.0,7.97,0.0,0.0,2023/09/14
ex1-41,41,Marshtomp,Uncommon,Ken Sugimori,1.96,0.0,19.44,1.2,9.99,2023/09/14
ex1-42,42,Mightyena,Uncommon,Ken Sugimori,1.66,0.0,9.44,2.75,0.0,2023/09/14
ex1-43,43,Silcoon,Uncommon,Hajime Kusajima,1.82,0.0,7.66,0.55,0.0,2023/09/14
ex1-44,44,Skitty,Uncommon,Midori Harada,4.61,0.0,9.79,0.99,0.83,2023/09/14
ex1-45,45,Slakoth,Uncommon,Kagemaru Himeno,1.25,0.0,5.47,0.0,0.88,2023/09/14
ex1-46,46,Swellow,Uncommon,Ken Sugimori,0.88,0.0,3.0,0.43,0.29,2023/09/14
ex1-47,47,Vigoroth,Uncommon,Kagemaru Himeno,1.88,0.0,2.82,1.05,1.0,2023/09/14
ex1-48,48,Wailmer,Uncommon,Mitsuhiro Arita,0.82,0.0,5.87,0.82,0.0,2023/09/14
ex1-49,49,Aron,Common,Mitsuhiro Arita,0.56,0.0,2.99,0.62,12.0,2023/09/14
ex1-50,50,Aron,Common,Ken Sugimori,0.42,0.0,1.88,0.32,1.45,2023/09/14
ex1-51,51,Carvanha,Common,Hajime Kusajima,0.53,0.0,2.97,0.8,2.0,2023/09/14
ex1-52,52,Electrike,Common,Ken Sugimori,0.35,0.0,3.49,0.43,0.0,2023/09/14
ex1-53,53,Electrike,Common,Mitsuhiro Arita,0.4,0.0,4.01,0.38,0.99,2023/09/14
ex1-54,54,Koffing,Common,Atsuko Nishida,0.31,0.0,4.08,0.46,0.0,2023/09/14
ex1-55,55,Goldeen,Common,Hajime Kusajima,0.38,0.0,2.47,0.19,0.0,2023/09/14
ex1-56,56,Makuhita,Common,Ken Sugimori,0.29,0.0,1.95,0.18,0.0,2023/09/14
ex1-57,57,Makuhita,Common,Kagemaru Himeno,0.45,0.0,0.6,0.32,0.0,2023/09/14
ex1-58,58,Makuhita,Common,Naoyo Kimura,0.52,0.0,0.95,0.31,2.45,2023/09/14
ex1-59,59,Mudkip,Common,Mitsuhiro Arita,1.82,0.0,17.36,0.8,4.99,2023/09/14
ex1-60,60,Mudkip,Common,Ken Sugimori,0.8,0.0,15.35,0.45,2.95,2023/09/14
ex1-61,61,Numel,Common,Ken Sugimori,0.44,0.0,2.98,0.26,0.0,2023/09/14
ex1-62,62,Phanpy,Common,Kagemaru Himeno,0.57,0.0,7.19,0.7,2.0,2023/09/14
ex1-63,63,Poochyena,Common,Ken Sugimori,0.4,0.0,5.59,0.25,3.98,2023/09/14
