ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
dp3-1,1,Ampharos,Rare Holo,Kouki Saitou,0.0,7.02,5.99,1.61,0.0,2023/09/14
dp3-2,2,Blastoise,Rare Holo,Daisuke Ito,0.0,30.17,20.99,4.41,8.0,2023/09/14
dp3-3,3,Charizard,Rare Holo,Daisuke Ito,0.0,199.48,137.51,18.89,20.0,2023/09/14
dp3-4,4,Entei,Rare Holo,Ryo Ueda,0.0,14.86,12.18,3.12,0.0,2023/09/14
dp3-5,5,Flygon,Rare Holo,Daisuke Ito,0.0,14.1,7.3,1.92,2.16,2023/09/14
dp3-6,6,Gallade,Rare Holo,Daisuke Ito,0.0,6.06,4.34,3.81,0.5,2023/09/14
dp3-7,7,Gardevoir,Rare Holo,Atsuko Nishida,0.0,20.46,20.28,8.68,4.5,2023/09/14
dp3-8,8,Gastrodon East Sea,Rare Holo,Kazuyuki Kano,0.0,10.41,5.33,4.56,2.23,2023/09/14
dp3-9,9,Gastrodon West Sea,Rare Holo,Kazuyuki Kano,0.0,7.31,3.97,1.07,2.97,2023/09/14
dp3-10,10,Ho-Oh,Rare Holo,Kazuyuki Kano,0.0,23.61,13.84,7.64,0.0,2023/09/14
dp3-11,11,Jumpluff,Rare Holo,Kagemaru Himeno,0.0,4.46,2.12,2.68,0.85,2023/09/14
dp3-12,12,Lickilicky,Rare Holo,Kazuyuki Kano,0.0,4.78,4.49,1.95,3.81,2023/09/14
dp3-13,13,Ludicolo,Rare Holo,Mitsuhiro Arita,0.0,6.75,1.71,3.76,3.49,2023/09/14
dp3-14,14,Lugia,Rare Holo,Kazuyuki Kano,0.0,62.32,31.37,18.99,37.5,2023/09/14
dp3-15,15,Mew,Rare Holo,Kagemaru Himeno,0.0,71.01,26.99,14.05,6.9,2023/09/14
dp3-16,16,Raikou,Rare Holo,Ryo Ueda,0.0,10.53,16.41,3.45,2.92,2023/09/14
dp3-17,17,Roserade,Rare Holo,Ken Sugimori,0.0,8.52,3.42,1.42,2.95,2023/09/14
dp3-18,18,Salamence,Rare Holo,Kazuyuki Kano,0.0,12.14,8.99,2.29,2.17,2023/09/14
dp3-19,19,Suicune,Rare Holo,Ryo Ueda,0.0,18.07,12.99,4.07,2.33,2023/09/14
dp3-20,20,Venusaur,Rare Holo,Kazuyuki Kano,0.0,19.73,20.79,8.47,1.0,2023/09/14
dp3-21,21,Absol,Rare,Ken Sugimori,2.69,0.0,3.29,1.25,2.35,2023/09/14
dp3-22,22,Arcanine,Rare,Kouki Saitou,2.09,0.0,19.06,1.25,4.98,2023/09/14
dp3-23,23,Banette,Rare,Kouki Saitou,0.99,0.0,2.64,0.35,0.57,2023/09/14
dp3-24,24,Dugtrio,Rare,Ken Sugimori,0.75,0.0,1.52,0.88,0.83,2023/09/14
dp3-25,25,Electivire,Rare,Kouki Saitou,0.81,0.0,1.65,0.48,1.05,2023/09/14
dp3-26,26,Electrode,Rare,Ken Sugimori,0.48,0.0,0.5,0.17,0.59,2023/09/14
dp3-27,27,Furret,Rare,Kagemaru Himeno,2.68,0.0,5.14,0.46,0.33,2023/09/14
dp3-28,28,Golduck,Rare,Ken Sugimori,0.76,0.0,1.99,0.62,0.85,2023/09/14
dp3-29,29,Golem,Rare,Naoyo Kimura,1.37,0.0,3.36,0.33,0.49,2023/09/14
dp3-30,30,Jynx,Rare,Kagemaru Himeno,0.91,0.0,1.98,0.65,0.0,2023/09/14
dp3-31,31,Magmortar,Rare,Kouki Saitou,0.95,0.0,1.97,0.48,0.0,2023/09/14
dp3-32,32,Minun,Rare,Masakazu Fukuda,1.2,0.0,2.74,0.56,0.94,2023/09/14
dp3-33,33,Mothim,Rare,Kazuyuki Kano,0.78,0.0,2.25,0.5,0.9,2023/09/14
dp3-34,34,Nidoking,Rare,Kouki Saitou,2.01,0.0,6.84,1.75,1.1,2023/09/14
dp3-35,35,Pidgeot,Rare,Masakazu Fukuda,1.59,0.0,2.98,1.5,2.2,2023/09/14
dp3-36,36,Plusle,Rare,Masakazu Fukuda,1.1,0.0,2.24,0.15,0.0,2023/09/14
dp3-37,37,Sharpedo,Rare,Ken Sugimori,0.99,0.0,1.25,0.35,1.05,2023/09/14
dp3-38,38,Sunflora,Rare,Mitsuhiro Arita,1.0,0.0,2.43,0.12,0.0,2023/09/14
dp3-39,39,Unown S,Rare,Kazuyuki Kano,1.34,0.0,2.49,0.28,0.95,2023/09/14
dp3-40,40,Weavile,Rare,Kagemaru Himeno,0.99,0.0,2.99,0.54,1.03,2023/09/14
dp3-41,41,Wormadam Plant Cloak,Rare,Mitsuhiro Arita,1.05,0.0,2.22,0.46,0.5,2023/09/14
dp3-42,42,Wormadam Sandy Cloak,Rare,Kagemaru Himeno,0.7,0.0,0.94,0.56,0.83,2023/09/14
dp3-43,43,Wormadam Trash Cloak,Rare,Kazuyuki Kano,0.7,0.0,2.13,0.35,0.0,2023/09/14
dp3-44,44,Xatu,Rare,Sumiyoshi Kizuki,0.59,0.0,1.19,0.58,0.0,2023/09/14
dp3-45,45,Breloom,Uncommon,Kouki Saitou,0.61,0.0,2.75,0.12,0.0,2023/09/14
dp3-46,46,Charmeleon,Uncommon,Atsuko Nishida,1.03,0.0,13.58,0.31,6.99,2023/09/14
dp3-47,47,Cloyster,Uncommon,Ken Sugimori,0.59,0.0,2.51,0.17,0.38,2023/09/14
dp3-48,48,Donphan,Uncommon,Ken Sugimori,0.22,0.0,0.58,0.09,0.33,2023/09/14
dp3-49,49,Farfetch'd,Uncommon,Ken Sugimori,0.43,0.0,1.13,0.35,0.0,2023/09/14
dp3-50,50,Flaaffy,Uncommon,Kagemaru Himeno,0.4,0.0,3.5,0.12,0.25,2023/09/14
dp3-51,51,Ivysaur,Uncommon,Kagemaru Himeno,1.48,0.0,5.33,0.41,3.0,2023/09/14
dp3-52,52,Kecleon,Uncommon,Mitsuhiro Arita,0.42,0.0,1.0,0.17,0.97,2023/09/14
dp3-53,53,Kirlia,Uncommon,Masakazu Fukuda,1.06,0.0,2.98,0.51,0.2,2023/09/14
dp3-54,54,Lombre,Uncommon,Kouki Saitou,0.4,0.0,0.85,0.23,0.29,2023/09/14
dp3-55,55,Miltank,Uncommon,Mitsuhiro Arita,0.62,0.0,1.61,0.12,1.63,2023/09/14
dp3-56,56,Muk,Uncommon,Daisuke Ito,0.42,0.0,1.66,0.1,0.0,2023/09/14
