ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex4-1,1,Team Aqua's Cacturne,Rare Holo,K. Utsunomiya,0.0,9.0,7.53,3.7,7.5,2023/09/14
ex4-2,2,Team Aqua's Crawdaunt,Rare Holo,Nakaoka,0.0,8.76,3.91,4.13,0.0,2023/09/14
ex4-3,3,Team Aqua's Kyogre,Rare Holo,K. Hoshiba,0.0,28.66,13.59,5.06,10.0,2023/09/14
ex4-4,4,Team Aqua's Manectric,Rare Holo,K. Utsunomiya,0.0,12.47,9.45,6.95,3.5,2023/09/14
ex4-5,5,Team Aqua's Sharpedo,Rare Holo,Katsura Tabata,0.0,13.0,7.37,14.47,9.97,2023/09/14
ex4-6,6,Team Aqua's Walrein,Rare Holo,Ken Ikuji,0.0,3.42,2.64,2.8,7.5,2023/09/14
ex4-7,7,Team Magma's Aggron,Rare Holo,Hiromichi Sugiyama,0.0,10.08,11.65,2.19,42.91,2023/09/14
ex4-8,8,Team Magma's Claydol,Rare Holo,Zu-Ka,0.0,10.3,9.9,3.27,0.0,2023/09/14
ex4-9,9,Team Magma's Groudon,Rare Holo,Kazuo Yazawa,0.0,31.0,18.84,3.05,10.71,2023/09/14
ex4-10,10,Team Magma's Houndoom,Rare Holo,Ken Ikuji,0.0,47.86,20.95,13.23,19.98,2023/09/14
ex4-11,11,Team Magma's Rhydon,Rare Holo,T. Honda,0.0,12.24,12.29,3.9,0.0,2023/09/14
ex4-12,12,Team Magma's Torkoal,Rare Holo,K. Hoshiba,0.0,15.27,7.99,4.98,2.5,2023/09/14
ex4-13,13,Raichu,Rare,Ken Sugimori,4.43,0.0,31.3,1.4,7.0,2023/09/14
ex4-14,14,Team Aqua's Crawdaunt,Rare,Nakaoka,1.58,0.0,5.99,0.45,1.29,2023/09/14
ex4-15,15,Team Aqua's Mightyena,Rare,Shin-ichi Yoshikawa,1.75,0.0,4.45,0.32,0.64,2023/09/14
ex4-16,16,Team Aqua's Sealeo,Rare,T. Honda,1.37,0.0,3.21,2.45,0.0,2023/09/14
ex4-17,17,Team Aqua's Seviper,Rare,Jungo Suzuki,1.85,0.0,4.21,1.35,4.24,2023/09/14
ex4-18,18,Team Aqua's Sharpedo,Rare,Katsura Tabata,1.96,0.0,1.47,1.9,0.0,2023/09/14
