ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex7-1,1,Azumarill,Rare Holo,Sumiyoshi Kizuki,0.0,35.0,30.86,8.24,0.0,2023/09/14
ex7-2,2,Dark Ampharos,Rare Holo,Emi Miwa,0.0,39.47,63.82,15.69,65.0,2023/09/14
ex7-3,3,Dark Crobat,Rare Holo,Kyoko Koizumi,0.0,18.73,19.24,13.45,0.0,2023/09/14
ex7-4,4,Dark Electrode,Rare Holo,Kouki Saitou,0.0,31.13,39.99,17.66,4.0,2023/09/14
ex7-5,5,Dark Houndoom,Rare Holo,Mitsuhiro Arita,0.0,38.72,49.99,15.41,0.0,2023/09/14
ex7-6,6,Dark Hypno,Rare Holo,Kouki Saitou,0.0,15.0,31.17,8.42,49.5,2023/09/14
ex7-7,7,Dark Marowak,Rare Holo,Mitsuhiro Arita,0.0,30.27,39.99,11.58,11.93,2023/09/14
ex7-8,8,Dark Octillery,Rare Holo,Mitsuhiro Arita,0.0,23.86,27.99,13.38,0.0,2023/09/14
ex7-9,9,Dark Slowking,Rare Holo,Kouki Saitou,0.0,31.78,53.95,11.87,0.0,2023/09/14
ex7-10,10,Dark Steelix,Rare Holo,Kyoko Koizumi,0.0,25.39,54.95,14.78,36.98,2023/09/14
ex7-11,11,Jumpluff,Rare Holo,Kyoko Umemoto,0.0,8.91,17.4,8.33,5.99,2023/09/14
ex7-12,12,Kingdra,Rare Holo,Kagemaru Himeno,0.0,31.04,19.27,11.94,0.0,2023/09/14
ex7-13,13,Piloswine,Rare Holo,Tomokazu Komiya,0.0,13.9,19.75,14.46,0.0,2023/09/14
ex7-14,14,Togetic,Rare Holo,Sumiyoshi Kizuki,0.0,32.27,44.99,11.96,40.0,2023/09/14
ex7-15,15,Dark Dragonite,Rare,Nakaoka,21.81,0.0,142.49,16.74,52.95,2023/09/14
ex7-16,16,Dark Muk,Rare,Mitsuhiro Arita,2.64,0.0,24.99,2.26,0.0,2023/09/14
ex7-17,17,Dark Raticate,Rare,Kouki Saitou,1.86,0.0,34.99,1.34,0.0,2023/09/14
ex7-18,18,Dark Sandslash,Rare,Masakazu Fukuda,3.9,0.0,31.83,2.54,40.0,2023/09/14
ex7-19,19,Dark Tyranitar,Rare,Nakaoka,12.38,0.0,124.95,13.71,35.0,2023/09/14
ex7-20,20,Dark Tyranitar,Rare,Kyoko Koizumi,16.64,0.0,99.99,1.86,27.25,2023/09/14
ex7-21,21,Delibird,Rare,Yuka Morii,4.21,0.0,26.47,0.59,0.0,2023/09/14
ex7-22,22,Furret,Rare,Yuka Morii,4.21,0.0,14.57,1.06,15.0,2023/09/14
ex7-23,23,Ledian,Rare,Kagemaru Himeno,1.09,0.0,27.49,1.13,11.23,2023/09/14
ex7-24,24,Magby,Rare,Yukiko Baba,1.79,0.0,17.1,2.32,19.99,2023/09/14
ex7-25,25,Misdreavus,Rare,Aya Kusube,1.1,0.0,17.19,1.44,8.5,2023/09/14
ex7-26,26,Quagsire,Rare,Miki Tanaka,1.37,0.0,19.6,0.59,0.0,2023/09/14
