ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
base5-1,1,Dark Alakazam,Rare Holo,Ken Sugimori,0.0,0.0,0.0,30.56,0.0,2023/09/13
base5-2,2,Dark Arbok,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,8.21,0.0,2023/09/13
base5-3,3,Dark Blastoise,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,91.12,0.0,2023/09/13
base5-4,4,Dark Charizard,Rare Holo,Ken Sugimori,0.0,0.0,0.0,124.71,0.0,2023/09/13
base5-5,5,Dark Dragonite,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,79.71,0.0,2023/09/13
base5-6,6,Dark Dugtrio,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,13.64,0.0,2023/09/13
base5-7,7,Dark Golbat,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,23.96,0.0,2023/09/13
base5-8,8,Dark Gyarados,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,28.63,0.0,2023/09/13
base5-9,9,Dark Hypno,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,16.93,0.0,2023/09/13
base5-10,10,Dark Machamp,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,28.92,0.0,2023/09/13
base5-11,11,Dark Magneton,Rare Holo,Miki Tanaka,0.0,0.0,0.0,28.03,0.0,2023/09/13
base5-12,12,Dark Slowbro,Rare Holo,Mitsuhiro Arita,0.0,0.0,0.0,25.23,0.0,2023/09/13
base5-13,13,Dark Vileplume,Rare Holo,Kagemaru Himeno,0.0,0.0,0.0,26.17,0.0,2023/09/13
base5-14,14,Dark Weezing,Rare Holo,Shin-ichi Yoshida,0.0,0.0,0.0,12.09,0.0,2023/09/13
base5-15,15,Here Comes Team Rocket!,Rare Holo,Ken Sugimori,0.0,0.0,0.0,25.2,0.0,2023/09/13
base5-16,16,Rocket's Sneak Attack,Rare Holo,Ken Sugimori,0.0,0.0,0.0,22.7,0.0,2023/09/13
base5-17,17,Rainbow Energy,Rare Holo,Takumi Akabane,0.0,0.0,0.0,25.46,0.0,2023/09/13
base5-18,18,Dark Alakazam,Rare,Ken Sugimori,0.0,0.0,0.0,8.17,0.0,2023/09/13
base5-19,19,Dark Arbok,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.87,0.0,2023/09/13
base5-20,20,Dark Blastoise,Rare,Mitsuhiro Arita,0.0,0.0,0.0,11.95,0.0,2023/09/13
base5-21,21,Dark Charizard,Rare,Ken Sugimori,0.0,0.0,0.0,36.8,0.0,2023/09/13
base5-22,22,Dark Dragonite,Rare,Mitsuhiro Arita,0.0,0.0,0.0,8.02,0.0,2023/09/13
base5-23,23,Dark Dugtrio,Rare,Kagemaru Himeno,0.0,0.0,0.0,7.27,0.0,2023/09/13
base5-24,24,Dark Golbat,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.12,0.0,2023/09/13
base5-25,25,Dark Gyarados,Rare,Kagemaru Himeno,0.0,0.0,0.0,8.15,0.0,2023/09/13
base5-26,26,Dark Hypno,Rare,Kagemaru Himeno,0.0,0.0,0.0,4.08,0.0,2023/09/13
base5-27,27,Dark Machamp,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.58,0.0,2023/09/13
base5-28,28,Dark Magneton,Rare,Miki Tanaka,0.0,0.0,0.0,4.22,0.0,2023/09/13
base5-29,29,Dark Slowbro,Rare,Mitsuhiro Arita,0.0,0.0,0.0,4.87,0.0,2023/09/13
base5-30,30,Dark Vileplume,Rare,Kagemaru Himeno,0.0,0.0,0.0,4.16,0.0,2023/09/13
base5-31,31,Dark Weezing,Rare,Shin-ichi Yoshida,0.0,0.0,0.0,3.12,0.0,2023/09/13
base5-32,32,Dark Charmeleon,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,3.65,0.0,2023/09/13
base5-33,33,Dark Dragonair,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,5.02,0.0,2023/09/13
base5-34,34,Dark Electrode,Uncommon,Ken Sugimori,0.0,0.0,0.0,1.5,0.0,2023/09/13
base5-35,35,Dark Flareon,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,5.37,0.0,2023/09/13
base5-36,36,Dark Gloom,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,0.89,0.0,2023/09/13
base5-37,37,Dark Golduck,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,1.85,0.0,2023/09/13
base5-38,38,Dark Jolteon,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,5.43,0.0,2023/09/13
base5-39,39,Dark Kadabra,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.24,0.0,2023/09/13
base5-40,40,Dark Machoke,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,1.52,0.0,2023/09/13
base5-41,41,Dark Muk,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.24,0.0,2023/09/13
base5-42,42,Dark Persian,Uncommon,Shin-ichi Yoshida,0.0,0.0,0.0,1.2,0.0,2023/09/13
base5-43,43,Dark Primeape,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,1.38,0.0,2023/09/13
base5-44,44,Dark Rapidash,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.34,0.0,2023/09/13
base5-45,45,Dark Vaporeon,Uncommon,Mitsuhiro Arita,0.0,0.0,0.0,3.31,0.0,2023/09/13
base5-46,46,Dark Wartortle,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.93,0.0,2023/09/13
base5-47,47,Magikarp,Uncommon,Kagemaru Himeno,0.0,0.0,0.0,1.66,0.0,2023/09/13
base5-48,48,Porygon,Uncommon,Keiji Kinebuchi,0.0,0.0,0.0,1.4,0.0,2023/09/13
base5-49,49,Abra,Common,Sumiyoshi Kizuki,0.0,0.0,0.0,0.63,0.0,2023/09/13
base5-50,50,Charmander,Common,Kagemaru Himeno,0.0,0.0,0.0,1.87,0.0,2023/09/13
base5-51,51,Dark Raticate,Common,Shin-ichi Yoshida,0.0,0.0,0.0,0.58,0.0,2023/09/13
base5-52,52,Diglett,Common,Sumiyoshi Kizuki,0.0,0.0,0.0,0.43,0.0,2023/09/13
base5-53,53,Dratini,Common,Kagemaru Himeno,0.0,0.0,0.0,1.19,0.0,2023/09/13
base5-54,54,Drowzee,Common,Kagemaru Himeno,0.0,0.0,0.0,0.44,0.0,2023/09/13
base5-55,55,Eevee,Common,Atsuko Nishida,0.0,0.0,0.0,1.23,0.0,2023/09/13
base5-56,56,Ekans,Common,Ken Sugimori,0.0,0.0,0.0,0.38,0.0,2023/09/13
