ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
swsh12pt5gg-GG01,GG01,Hisuian Voltorb,Trainer Gallery Rare Holo,HYOGONOSUKE,,0.66,,,,2023/05/07
swsh12pt5gg-GG02,GG02,Kricketune,Trainer Gallery Rare Holo,Nurikabe,,1.3,,,,2023/05/07
swsh12pt5gg-GG03,GG03,Magmortar,Trainer Gallery Rare Holo,Saya Tsuruta,,1.47,,,,2023/05/07
swsh12pt5gg-GG04,GG04,Oricorio,Trainer Gallery Rare Holo,Tomokazu Komiya,,0.99,,,,2023/05/07
swsh12pt5gg-GG05,GG05,Lapras,Trainer Gallery Rare Holo,zig,,2.62,,,,2023/05/07
swsh12pt5gg-GG06,GG06,Manaphy,Trainer Gallery Rare Holo,Taira Akitsu,,2.73,,,,2023/05/07
swsh12pt5gg-GG07,GG07,Keldeo,Trainer Gallery Rare Holo,KEIICHIRO ITO,,2.21,,,,2023/05/07
swsh12pt5gg-GG08,GG08,Electivire,Trainer Gallery Rare Holo,Mina Nakai,,1.41,,,,2023/05/07
swsh12pt5gg-GG09,GG09,Toxtricity,Trainer Gallery Rare Holo,Nelnal,,0.89,,,,2023/05/07
swsh12pt5gg-GG10,GG10,Mew,Trainer Gallery Rare Holo,Ryota Murayama,,5.91,,,,2023/05/07
swsh12pt5gg-GG11,GG11,Lunatone,Trainer Gallery Rare Holo,sowsow,,1.72,,,,2023/05/07
swsh12pt5gg-GG12,GG12,Deoxys,Trainer Gallery Rare Holo,Scav,,1.9,,,,2023/05/07
swsh12pt5gg-GG13,GG13,Diancie,Trainer Gallery Rare Holo,Haruko Ichikawa,,1.01,,,,2023/05/07
swsh12pt5gg-GG14,GG14,Comfey,Trainer Gallery Rare Holo,Yano Keiji,,3.17,,,,2023/05/07
swsh12pt5gg-GG15,GG15,Solrock,Trainer Gallery Rare Holo,Nobuhiro Imagawa,,1.9,,,,2023/05/07
swsh12pt5gg-GG16,GG16,Absol,Trainer Gallery Rare Holo,Uta,,1.32,,,,2023/05/07
swsh12pt5gg-GG17,GG17,Thievul,Trainer Gallery Rare Holo,NC Empire,,1.06,,,,2023/05/07
swsh12pt5gg-GG18,GG18,Magnezone,Trainer Gallery Rare Holo,Shinya Komatsu,,1.79,,,,2023/05/07
swsh12pt5gg-GG19,GG19,Altaria,Trainer Gallery Rare Holo,Asako Ito,,1.3,,,,2023/05/07
swsh12pt5gg-GG20,GG20,Latias,Trainer Gallery Rare Holo,Teeziro,,2.41,,,,2023/05/07
swsh12pt5gg-GG21,GG21,Hisuian Goodra,Trainer Gallery Rare Holo,You Iribi,,1.21,,,,2023/05/07
swsh12pt5gg-GG22,GG22,Ditto,Trainer Gallery Rare Holo,Miki Tanaka,,1.52,,,,2023/05/07
