ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
swsh12pt5-1,1,Oddish,Common,ryoma uratsuka,0.04,,0.33,,,2023/09/10
swsh12pt5-2,2,Gloom,Uncommon,Kyoko Umemoto,0.05,,0.26,,,2023/09/10
swsh12pt5-3,3,Bellossom,Rare,Nagomi Nijo,0.09,,0.28,,,2023/09/10
swsh12pt5-4,4,Tangela,Common,kurumitsu,0.04,,0.31,,,2023/09/10
swsh12pt5-5,5,Tangrowth,Rare,zig,0.11,,0.28,,,2023/09/10
swsh12pt5-6,6,Scyther,Common,Narumi Sato,0.08,,0.36,,,2023/09/10
swsh12pt5-7,7,Sunkern,Common,ryoma uratsuka,0.02,,0.24,,,2023/09/10
swsh12pt5-8,8,Yanma,Common,Shin Nagasawa,0.03,,0.2,,,2023/09/10
swsh12pt5-9,9,Yanmega,Rare,KIYOTAKA OSHIYAMA,0.08,,0.23,,,2023/09/10
swsh12pt5-10,10,Kricketot,Common,Shigenori Negishi,0.25,,0.26,,,2023/09/10
swsh12pt5-11,11,Cherubi,Common,Lee HyunJung,0.04,,0.24,,,2023/09/10
swsh12pt5-12,12,Carnivine,Uncommon,Shibuzoh.,0.03,,0.38,,,2023/09/10
swsh12pt5-13,13,Leafeon V,Rare Holo V,PLANETA Mochizuki,,0.91,,,,2023/09/10
swsh12pt5-14,14,Leafeon VSTAR,Rare Holo VSTAR,PLANETA Hiiragi,,1.58,,,,2023/09/10
swsh12pt5-15,15,Grubbin,Common,Atsuko Nishida,0.03,,0.36,,,2023/09/10
swsh12pt5-16,16,Zarude,Rare Holo,Shiburingaru,,0.25,0.34,,,2023/09/10
swsh12pt5-17,17,Calyrex,Rare Holo,Nurikabe,,0.38,0.35,,,2023/09/10
swsh12pt5-18,18,Charizard V,Rare Holo V,N-DESIGN Inc.,,2.5,,,,2023/09/10
swsh12pt5-19,19,Charizard VSTAR,Rare Holo VSTAR,5ban Graphics,,4.81,,,,2023/09/10
swsh12pt5-20,20,Radiant Charizard,Radiant Rare,Kouki Saitou,,4.75,,,,2023/09/10
swsh12pt5-21,21,Entei,Rare Holo,Nisota Niso,,0.24,0.28,,,2023/09/10
swsh12pt5-22,22,Simisear V,Rare Holo V,5ban Graphics,,0.54,,,,2023/09/10
swsh12pt5-23,23,Simisear VSTAR,Rare Holo VSTAR,5ban Graphics,,1.07,,,,2023/09/10
swsh12pt5-24,24,Larvesta,Common,Tika Matsuno,0.03,,0.22,,,2023/09/10
swsh12pt5-25,25,Volcarona,Rare,Yuya Oka,0.09,,0.35,,,2023/09/10
swsh12pt5-26,26,Volcanion,Rare Holo,Shiburingaru,,0.28,0.32,,,2023/09/10
swsh12pt5-27,27,Salandit,Common,Sekio,0.03,,0.23,,,2023/09/10
swsh12pt5-28,28,Salazzle,Uncommon,aoki,0.04,,0.25,,,2023/09/10
swsh12pt5-29,29,Seel,Common,Kagemaru Himeno,0.03,,0.28,,,2023/09/10
swsh12pt5-30,30,Galarian Mr. Mime,Common,Shigenori Negishi,0.03,,0.25,,,2023/09/10
swsh12pt5-31,31,Wailmer,Common,kodama,0.05,,0.27,,,2023/09/10
swsh12pt5-32,32,Wailord,Rare,KIYOTAKA OSHIYAMA,0.09,,0.28,,,2023/09/10
swsh12pt5-33,33,Corphish,Common,0313,0.02,,0.21,,,2023/09/10
swsh12pt5-34,34,Snorunt,Common,otumami,0.02,,0.36,,,2023/09/10
swsh12pt5-35,35,Luvdisc,Common,Miki Tanaka,0.03,,0.23,,,2023/09/10
swsh12pt5-36,36,Kyogre,Rare Holo,Kouki Saitou,,0.77,0.94,,,2023/09/10
swsh12pt5-37,37,Kyogre V,Rare Holo V,PLANETA Tsuji,,0.86,,,,2023/09/10
swsh12pt5-38,38,Glaceon V,Rare Holo V,PLANETA Mochizuki,,1.04,,,,2023/09/10
swsh12pt5-39,39,Shinx,Common,Mina Nakai,0.03,,0.31,,,2023/09/10
swsh12pt5-40,40,Shinx,Common,0313,0.03,,0.25,,,2023/09/10
swsh12pt5-41,41,Luxio,Uncommon,Shibuzoh.,0.05,,0.26,,,2023/09/10
swsh12pt5-42,42,Luxio,Uncommon,Eri Yamaki,0.03,,0.32,,,2023/09/10
swsh12pt5-43,43,Luxray,Rare,sui,0.13,,0.24,,,2023/09/10
swsh12pt5-44,44,Luxray,Rare,Ryota Murayama,0.2,,0.48,,,2023/09/10
swsh12pt5-45,45,Rotom V,Rare Holo V,5ban Graphics,,0.58,,,,2023/09/10
swsh12pt5-46,46,Rotom VSTAR,Rare Holo VSTAR,5ban Graphics,,1.32,,,,2023/09/10
swsh12pt5-47,47,Emolga,Common,Saya Tsuruta,0.03,,0.24,,,2023/09/10
swsh12pt5-48,48,Eelektrik,Uncommon,NC Empire,0.02,,0.27,,,2023/09/10
swsh12pt5-49,49,Helioptile,Common,Oswaldo KATO,0.03,,0.3,,,2023/09/10
swsh12pt5-50,50,Heliolisk,Rare,Akira Komayama,0.11,,0.22,,,2023/09/10
swsh12pt5-51,51,Radiant Charjabug,Radiant Rare,Mizue,,0.31,,,,2023/09/10
swsh12pt5-52,52,Zeraora,Rare,HYOGONOSUKE,0.13,,0.29,,,2023/09/10
swsh12pt5-53,53,Zeraora V,Rare Holo V,5ban Graphics,,0.71,,,,2023/09/10
swsh12pt5-54,54,Zeraora VMAX,Rare Holo VMAX,Nisota Niso,,1.5,,,,2023/09/10
swsh12pt5-55,55,Zeraora VSTAR,Rare Holo VSTAR,aky CG Works,,1.36,,,,2023/09/10
swsh12pt5-56,56,Pincurchin,Uncommon,Saya Tsuruta,0.04,,0.3,,,2023/09/10
swsh12pt5-57,57,Exeggcute,Common,zig,0.04,,0.28,,,2023/09/10
swsh12pt5-58,58,Exeggutor,Rare,Toshinao Aoki,0.1,,0.28,,,2023/09/10
swsh12pt5-59,59,Mewtwo,Rare Holo,Atsushi Furusawa,,0.44,0.47,,,2023/09/10
swsh12pt5-60,60,Mew V,Rare Holo V,PLANETA Igarashi,,2.09,,,,2023/09/10
